index,label
0,""""""
1,"""#
GETESS (German Text Exploitation and Search System) ist der Name eines Projektes mehrerer Partner aus Forschung, Lehre und Industrie, das unterschiedlichste Fachgebiete der Informatik zusammenfuehrt wie Datenbanken, KÃ¼nstliche Intelligenz und Linguistik. Ziel der Projektes war die Entwicklung eines prototypischen Informationssystems, das Text- (HTML-) Dokumente mit neuen Technologien einsammelt, abspeichert und mittels natÃ¼rlichsprachlichen Dialogsystems fÃ¼r die Informationsrecherche verfÃ¼gbar macht. Partner des Projektes neben der UniversitÃ¤t Karlsruhe, Institut AIFB, Forschungsgruppe Wissensmanagement waren die GECKO mbH Rostock, der Lehrstuhl Datenbanken und Informationssysteme der UniversitÃ¤t Rostock und das DFKI in SaarbrÃ¼cken."""
2,"""(1)"""
3,"""(KA)2 - Knowledge Annotation Initiative of the Knowledge Acquisition Community"""
4,"""(also available at ACM Digital Library)"""
5,"""(in revision)"""
6,"""(to appear)"""
7,"""* Ontologien sind formale Modelle einer AnwendungsdomÃ¤ne, die dazu dienen den Austausch und das Teilen on Wissen zu erleichtern [5] Auf der methodischen Seite werden Techniken der objektorientierten Modellierung konsequent so weiterentwickelt, dass die Modelle nicht bloÃŸ im Verborgenen zur Strukturierung on Software dienen, sondern auch ein explizites Element der Benutzerschnittstelle darstellen und zur Laufzeit verwendet werden Auf der soziokulturellen Seite erfordern Ontologien daher die Einigung einer Gruppe von Anwendern auf die jeweiligen Begriffe und deren ZusammenhÃ¤nge."""
8,"""++49-721-608-6038"""
9,"""++49-721-608-6580"""
10,"""+49 (0) 721 608 4751"""
11,"""+49 (0) 721 608 4754"""
12,"""+49 (0) 721 608 6580"""
13,"""+49 (0) 721 608 6815"""
14,"""+49 (0) 721 608 8941"""
15,"""+49 (0) 721 608-6580"""
16,"""+49 (0) 721 6635933"""
17,"""+49 (1212) 61306 1949"""
18,"""+49 (160) 977 39 477"""
19,"""+49 (178) 811 8649"""
20,"""+49 (6173) 9448514"""
21,"""+49 (721) 151 589852"""
22,"""+49 (721) 151422433"""
23,"""+49 (721) 151589928"""
24,"""+49 (721) 183 0332"""
25,"""+49 (721) 20 85 100"""
26,"""+49 (721) 606685"""
27,"""+49 (721) 608 - 6144"""
28,"""+49 (721) 608 - 6591"""
29,"""+49 (721) 608 - 7467"""
30,"""+49 (721) 608 - 8385"""
31,"""+49 (721) 608 - 8399"""
32,"""+49 (721) 608 -"""
33,"""+49 (721) 608 2819"""
34,"""+49 (721) 608 3227"""
35,"""+49 (721) 608 3509"""
36,"""+49 (721) 608 3679"""
37,"""+49 (721) 608 3705"""
38,"""+49 (721) 608 3710"""
39,"""+49 (721) 608 3812"""
40,"""+49 (721) 608 3923/4750"""
41,"""+49 (721) 608 3924"""
42,"""+49 (721) 608 3983"""
43,"""+49 (721) 608 3998"""
44,"""+49 (721) 608 4029"""
45,"""+49 (721) 608 4061"""
46,"""+49 (721) 608 4062"""
47,"""+49 (721) 608 4063"""
48,"""+49 (721) 608 4127"""
49,"""+49 (721) 608 4242"""
