"index","annotation","label"
0,"none",""
1,"none","#
GETESS (German Text Exploitation and Search System) ist der Name eines Projektes mehrerer Partner aus Forschung, Lehre und Industrie, das unterschiedlichste Fachgebiete der Informatik zusammenfuehrt wie Datenbanken, KÃ¼nstliche Intelligenz und Linguistik. Ziel der Projektes war die Entwicklung eines prototypischen Informationssystems, das Text- (HTML-) Dokumente mit neuen Technologien einsammelt, abspeichert und mittels natÃ¼rlichsprachlichen Dialogsystems fÃ¼r die Informationsrecherche verfÃ¼gbar macht. Partner des Projektes neben der UniversitÃ¤t Karlsruhe, Institut AIFB, Forschungsgruppe Wissensmanagement waren die GECKO mbH Rostock, der Lehrstuhl Datenbanken und Informationssysteme der UniversitÃ¤t Rostock und das DFKI in SaarbrÃ¼cken."
2,"none","(1)"
3,"none","(KA)2 - Knowledge Annotation Initiative of the Knowledge Acquisition Community"
4,"none","(also available at ACM Digital Library)"
5,"none","(in revision)"
6,"none","(to appear)"
7,"none","* Ontologien sind formale Modelle einer AnwendungsdomÃ¤ne, die dazu dienen den Austausch und das Teilen on Wissen zu erleichtern [5] Auf der methodischen Seite werden Techniken der objektorientierten Modellierung konsequent so weiterentwickelt, dass die Modelle nicht bloÃŸ im Verborgenen zur Strukturierung on Software dienen, sondern auch ein explizites Element der Benutzerschnittstelle darstellen und zur Laufzeit verwendet werden Auf der soziokulturellen Seite erfordern Ontologien daher die Einigung einer Gruppe von Anwendern auf die jeweiligen Begriffe und deren ZusammenhÃ¤nge."
8,"none","++49-721-608-6038"
9,"none","++49-721-608-6580"
10,"none","+49 (0) 721 608 4751"
11,"none","+49 (0) 721 608 4754"
12,"none","+49 (0) 721 608 6580"
13,"none","+49 (0) 721 608 6815"
14,"none","+49 (0) 721 608 8941"
15,"none","+49 (0) 721 608-6580"
16,"none","+49 (0) 721 6635933"
17,"none","+49 (1212) 61306 1949"
18,"none","+49 (160) 977 39 477"
19,"none","+49 (178) 811 8649"
20,"none","+49 (6173) 9448514"
21,"none","+49 (721) 151 589852"
22,"none","+49 (721) 151422433"
23,"none","+49 (721) 151589928"
24,"none","+49 (721) 183 0332"
25,"none","+49 (721) 20 85 100"
26,"none","+49 (721) 606685"
27,"none","+49 (721) 608 -"
28,"none","+49 (721) 608 - 6144"
29,"none","+49 (721) 608 - 6591"
30,"none","+49 (721) 608 - 7467"
31,"none","+49 (721) 608 - 8385"
32,"none","+49 (721) 608 - 8399"
33,"none","+49 (721) 608 2819"
34,"none","+49 (721) 608 3227"
35,"none","+49 (721) 608 3509"
36,"none","+49 (721) 608 3679"
37,"none","+49 (721) 608 3705"
38,"none","+49 (721) 608 3710"
39,"none","+49 (721) 608 3812"
40,"none","+49 (721) 608 3923/4750"
41,"none","+49 (721) 608 3924"
42,"none","+49 (721) 608 3983"
43,"none","+49 (721) 608 3998"
44,"none","+49 (721) 608 4029"
45,"none","+49 (721) 608 4061"
46,"none","+49 (721) 608 4062"
47,"none","+49 (721) 608 4063"
48,"none","+49 (721) 608 4127"
49,"none","+49 (721) 608 4242"
50,"none","+49 (721) 608 4283"
51,"none","+49 (721) 608 4512"
52,"none","+49 (721) 608 4514"
53,"none","+49 (721) 608 4516"
54,"none","+49 (721) 608 4522"
55,"none","+49 (721) 608 4536"
56,"none","+49 (721) 608 4537"
57,"none","+49 (721) 608 4547"
58,"none","+49 (721) 608 4548"
59,"none","+49 (721) 608 4553"
60,"none","+49 (721) 608 4556"
61,"none","+49 (721) 608 4557"
62,"none","+49 (721) 608 4576"
63,"none","+49 (721) 608 4750"
64,"none","+49 (721) 608 4751"
65,"none","+49 (721) 608 4752"
66,"none","+49 (721) 608 4754"
67,"none","+49 (721) 608 5998"
68,"none","+49 (721) 608 6034"
69,"none","+49 (721) 608 6035"
70,"none","+49 (721) 608 6036"
71,"none","+49 (721) 608 6037"
72,"none","+49 (721) 608 6038"
73,"none","+49 (721) 608 6056"
74,"none","+49 (721) 608 6108"
75,"none","+49 (721) 608 6144"
76,"none","+49 (721) 608 6554"
77,"none","+49 (721) 608 6557"
78,"none","+49 (721) 608 6558"
79,"none","+49 (721) 608 6580"
80,"none","+49 (721) 608 6581"
81,"none","+49 (721) 608 6582"
82,"none","+49 (721) 608 6585"
83,"none","+49 (721) 608 6586"
84,"none","+49 (721) 608 6588"
85,"none","+49 (721) 608 6589"
86,"none","+49 (721) 608 6590"
87,"none","+49 (721) 608 6591"
88,"none","+49 (721) 608 6592"
89,"none","+49 (721) 608 6817"
90,"none","+49 (721) 608 7362"
91,"none","+49 (721) 608 7363"
92,"none","+49 (721) 608 7467"
93,"none","+49 (721) 608 7680"
94,"none","+49 (721) 608 7825"
95,"none","+49 (721) 608 7946"
96,"none","+49 (721) 608 7947"
97,"none","+49 (721) 608 8941"
98,"none","+49 (721) 693717"
99,"none","+49 (721) 9537 954"
100,"none","+49 (721) 9654 852"
101,"none","+49 (721) 9654-857"
102,"none","+49 179 4862068"
103,"none","+49 341 97-32275"
104,"none","+49 341 97-32279"
105,"none","+49 6227 78 47181"
106,"none","+49 721 608 3509"
107,"none","+49 721 608 6558"
108,"none","+49 721 608-3924"
109,"none","+49 721 608-4062"
110,"none","+49 721 608-6558"
111,"none","+49 721 6635933"
112,"none","+49 721 6635934"
113,"none","+49 721 6902 59"
114,"none","+49 721 693717"
115,"none","+49(261)287-2795"
116,"none","-"
117,"none","/BIK/GuS"
118,"none","0"
119,"none","0-387-27630-0"
120,"none","0-7923-9601-4"
121,"none","01/05"
122,"none","01628076733; 07243980613"
123,"none","01733154945"
124,"none","0174 1716614"
125,"none","017623132962"
126,"none","017623588352"
127,"none","0177 589 48 48"
128,"none","01773375353"
129,"none","01777935715"
130,"none","01792063896; 07219094609"
131,"none","03301"
132,"none","0470025964"
133,"none","05"
134,"none","05271"
135,"none","05371"
136,"none","06/04"
137,"none","0721 / 608-6558"
138,"none","0721 / 693717"
139,"none","0721 / 90 91 336"
140,"none","0721/ 9095123, 01797894541"
141,"none","0721/174750, 017622290232"
142,"none","0721/2087708, 0179480 6524"
143,"none","0721/2088979, 01797919286"
144,"none","0721/254 2466, 01794806524"
145,"none","0721/608-3924"
146,"none","0721/608-6558"
147,"none","0721/693717"
148,"none","0721/693861"
149,"none","1"
150,"none","1 - 26"
151,"none","1--2"
152,"none","1-12"
153,"none","1-2"
154,"none","1-2004"
155,"none","1-2006"
156,"none","1-24"
157,"none","1-3"
158,"none","1-4020-7171"
159,"none","1-58603-523-1"
160,"none","1-6"
161,"none","1-9"
162,"none","1. Auflage"
163,"none","1.1.2"
164,"none","1.3"
165,"none","1.4"
166,"none","1/1995"
167,"none","10"
168,"none","10-17"
169,"none","1007-1115"
170,"none","101-112"
171,"none","101-117"
172,"none","103-114"
173,"none","104-107"
174,"none","104-111"
175,"none","105"
176,"none","105--122"
177,"none","105-112"
178,"none","108"
179,"none","10th Annual Workshop on Economic Heterogeneous Interacting Agents (WEHIA 2005)"
180,"none","10th Symposium on Finance, Banking, and Insurance, Book of Abstracts p. 52"
181,"none","11"
182,"none","11--28"
183,"none","11-13"
184,"none","11-20"
185,"none","11-58"
186,"none","11.IuK-Jahrestagung 2005"
187,"none","110--124"
188,"none","110-125"
189,"none","1100 - 1107"
190,"none","111-122"
191,"none","111-125"
192,"none","112--119"
193,"none","113-121"
194,"none","113-130"
195,"none","115-126"
196,"none","116-131"
197,"none","1168-1173"
198,"none","117-128"
199,"none","117-132"
200,"none","117-135"
201,"none","1174-1178"
202,"none","118-123"
203,"none","12"
204,"none","12.1.1"
205,"none","120--127"
206,"none","120-137"
207,"none","1205-1222"
208,"none","121--134"
209,"none","122--136"
210,"none","123"
211,"none","123--140"
212,"none","123-125"
213,"none","123-131"
214,"none","123-134"
215,"none","123-159"
216,"none","124"
217,"none","124-132"
218,"none","125-130"
219,"none","125-133"
220,"none","1261-1278"
221,"none","128"
222,"none","128-146"
223,"none","128-152"
224,"none","12th International Conference on Computing in Economics and Finance, Book of Abstracts p. 85"
225,"none","13"
226,"none","13-20"
227,"none","130-137"
228,"none","130-142"
229,"none","131-145"
230,"none","132-146"
231,"none","132-147"
232,"none","135"
233,"none","136-148"
234,"none","136-149"
235,"none","137-138"
236,"none","137-140"
237,"none","13th European Conference on Information Systems"
238,"none","14"
239,"none","14-21"
240,"none","14-24"
241,"none","14-28"
242,"none","140-151"
243,"none","1407-1420"
244,"none","141--156"
245,"none","141-154"
246,"none","142-143"
247,"none","142-149"
248,"none","142-154"
249,"none","143-156"
250,"none","1433-1440"
251,"none","144-155"
252,"none","145-151"
253,"none","146-153"
254,"none","147"
255,"none","147-150"
256,"none","147-156"
257,"none","1472"
258,"none","148-169"
259,"none","149"
260,"none","149-162"
261,"none","149-166"
262,"none","15"
263,"none","15-26"
264,"none","151-156"
265,"none","152-162"
266,"none","153"
267,"none","155-164"
268,"none","156"
269,"none","1568-1569"
270,"none","157-161"
271,"none","1570"
272,"none","159 - 182"
273,"none","159-168"
274,"none","1590-1597"
275,"none","16"
276,"none","16-21"
277,"none","16-30"
278,"none","160-170"
279,"none","1602 - 1609"
280,"none","161-169"
281,"none","161-198"
282,"none","162 - 173"
283,"none","162-171"
284,"none","1621"
285,"none","163-169"
286,"none","163-202"
287,"none","165-170"
288,"none","165-175"
289,"none","165-176"
290,"none","166-168"
291,"none","166-172"
292,"none","166-181"
293,"none","167 - 175"
294,"none","167-194"
295,"none","168-188"
296,"none","169-174"
297,"none","17"
298,"none","17--26"
299,"none","17-20"
300,"none","17-30"
301,"none","170-173"
302,"none","171-184"
303,"none","172-179"
304,"none","1721-1724"
305,"none","173"
306,"none","173-174"
307,"none","174-182"
308,"none","175"
309,"none","175-190"
310,"none","176-189"
311,"none","178 - 189"
312,"none","18"
313,"none","18-23"
314,"none","18-24"
315,"none","1806"
316,"none","181-188"
317,"none","181-215"
318,"none","182-197"
319,"none","183-201"
320,"none","186-192"
321,"none","186-200"
322,"none","187-193"
323,"none","188"
324,"none","188 - 201"
325,"none","189-200"
326,"none","189-207"
327,"none","189-222"
328,"none","1896"
329,"none","19"
330,"none","19-33"
331,"none","19-34"
332,"none","190-195"
333,"none","191-196"
334,"none","193-197"
335,"none","193-207"
336,"none","194-207"
337,"none","194-209"
338,"none","195-200"
339,"none","1952-1957"
340,"none","196 -- 212"
341,"none","197 -- 210"
342,"none","198-213"
343,"none","1990"
344,"none","1991"
345,"none","1992"
346,"none","1993"
347,"none","1994"
348,"none","1995"
349,"none","1996"
350,"none","1997"
351,"none","1998"
352,"none","1999"
353,"none","1999 IEEE Knowledge and Data Engineering Exchange Workshop (KDEX'99), Chicago"
354,"none","19th Workshop on (Constraint) Logic Programming, Ulm, Germany, February 2005"
355,"none","1st Australian Workshop on Engineering Service-Oriented Systems (AWESOS 2004) Wednesday, 14 April 2004, Melbourne, Australia. In conjunction with the Australian Software Engineering Conference (ASWEC)"
356,"none","1st German Workshop on Experience Management: Sharing Experiences about the Sharing of Experience, Berlin, March 7-8, 2002, Proceedings"
357,"none","1st International Conference on Economic Sciences with Heterogeneous Interacting Agents (WEHIA 2006), University of Bologna, Italy"
358,"none","1st International Workshop on  Ontologies and Distributed Systems (ODS2003)"
359,"none","1st International Workshop on Scripting for the Semantic Web SFSW 2005"
360,"none","1st International Workshop on Semantic Technologies in Collaborative Applications STICA 06"
361,"none","1st National Workshop  Ontologie-basiertes Wissensmanagement (WOW2003)"
362,"none","1st Workshop on  Formal Ontologies Meet Industry, FOMI'05, Verona, Italy, June 2005"
363,"none","1st Workshop on Evaluation of Ontology-based Tools (EON2002), Siguenza (Spain), 30th September 2002"
364,"none","2"
365,"none","2-19"
366,"none","2-3"
367,"none","2-4"
368,"none","2. Auflage"
369,"none","2., neu bearbeitete Auflage"
370,"none","2.1"
371,"none","2.1.2"
372,"none","2.2"
373,"none","2.2.1v2"
374,"none","2.2.2"
375,"none","2.2.3"
376,"none","2.3.3.v1"
377,"none","2.3.3.v2"
378,"none","2.6.2"
379,"none","2.6.3"
380,"none","2.6.4"
381,"none","2.6.5"
382,"none","2.6.6"
383,"none","20"
384,"none","20-24"
385,"none","20-27"
386,"none","20-31"
387,"none","200-225"
388,"none","2000"
389,"none","2001"
390,"none","2002"
391,"none","2003"
392,"none","2004"
393,"none","2005"
394,"none","2005-01"
395,"none","2006"
396,"none","2006/2007"
397,"none","2007"
398,"none","2007 IEEE Symposium on Foundations of Computational Intelligence"
399,"none","201--203"
400,"none","202-211"
401,"none","202-215"
402,"none","203-215"
403,"none","2040-2041"
404,"none","205"
405,"none","207-212"
406,"none","208-213"
407,"none","21"
408,"none","21-36"
409,"none","211-216"
410,"none","211-226"
411,"none","212"
412,"none","2120"
413,"none","214-226"
414,"none","216"
415,"none","217-228"
416,"none","218 - 231"
417,"none","21st ICDE World Conference on Open Learning & Distance Education"
418,"none","22"
419,"none","22-33"
420,"none","22-37"
421,"none","220-221"
422,"none","221"
423,"none","221-235"
424,"none","221-240"
425,"none","223-237"
426,"none","225-230"
427,"none","225-232"
428,"none","227-238"
429,"none","2279"
430,"none","228-246"
431,"none","229-248"
432,"none","23"
433,"none","23-26"
434,"none","23-32"
435,"none","230-242"
436,"none","231"
437,"none","231-241"
438,"none","231-266"
439,"none","2321-2324"
440,"none","2342"
441,"none","235-240"
442,"none","235-244"
443,"none","235-262"
444,"none","236-249"
445,"none","237 - 246"
446,"none","239-262"
447,"none","23rd International Conference on Conceptual Modeling (ER2004)"
448,"none","24"
449,"none","24-34"
450,"none","241--256"
451,"none","242-255"
452,"none","243-253"
453,"none","243-263"
454,"none","243-269"
455,"none","244-265"
456,"none","245-264"
457,"none","2453"
458,"none","2455"
459,"none","246-255"
460,"none","2463"
461,"none","2472"
462,"none","2473"
463,"none","25"
464,"none","25 - 32"
465,"none","250-261"
466,"none","250-263"
467,"none","2519"
468,"none","252-256"
469,"none","2542-2547"
470,"none","255-262"
471,"none","2569"
472,"none","257-280"
473,"none","26"
474,"none","26-33"
475,"none","26-34"
476,"none","2632"
477,"none","264-278"
478,"none","2663"
479,"none","267-281"
480,"none","27-30"
481,"none","27-34"
482,"none","270-274"
483,"none","2712"
484,"none","272"
485,"none","2746"
486,"none","2769"
487,"none","277-300"
488,"none","278--285"
489,"none","2796-2801"
490,"none","28"
491,"none","28-29"
492,"none","28-32"
493,"none","28-33"
494,"none","28-37"
495,"none","281-288"
496,"none","281-302"
497,"none","281-305"
498,"none","2813"
499,"none","2821"
500,"none","2831"
501,"none","284"
502,"none","284 -- 288"
503,"none","2845-2848"
504,"none","285"
505,"none","285â€“300"
506,"none","286-302"
507,"none","287-299"
508,"none","287-301"
509,"none","287-325"
510,"none","2870"
511,"none","2888"
512,"none","2889"
513,"none","29-50"
514,"none","292"
515,"none","2956"
516,"none","296"
517,"none","298-299"
518,"none","298-312"
519,"none","299 - 303"
520,"none","2nd International Workshop on Evaluation of Ontology based Tools (EON2003)"
521,"none","2nd Workshop on Knowledge Markup and Semantic Annotation"
522,"none","3"
523,"none","3--14"
524,"none","3-10"
525,"none","3-446-22878-0"
526,"none","3-446-40493-7"
527,"none","3-519-00491-7"
528,"none","3-8334-3532-1"
529,"none","3-87005-067-5"
530,"none","3-89963-406-3"
531,"none","3-9"
532,"none","3., neu bearbeitete Auflage"
533,"none","3.1.1.a"
534,"none","3.1.1.b"
535,"none","3.2.1"
536,"none","3.2.2"
537,"none","3.2.4"
538,"none","3.e."
539,"none","3/05"
540,"none","30"
541,"none","30--49"
542,"none","3005"
543,"none","301"
544,"none","301--320"
545,"none","301-328"
546,"none","303"
547,"none","303-316"
548,"none","303-318"
549,"none","303-322"
550,"none","304-313"
551,"none","304-317"
552,"none","305-339"
553,"none","3053"
554,"none","3059"
555,"none","307"
556,"none","307-322"
557,"none","31"
558,"none","31-34"
559,"none","31-35"
560,"none","31-42"
561,"none","31-53"
562,"none","310-316"
563,"none","3102"
564,"none","3103"
565,"none","3103-3129"
566,"none","311-333"
567,"none","312"
568,"none","3127"
569,"none","314-319"
570,"none","315-320"
571,"none","316"
572,"none","317-359"
573,"none","3172"
574,"none","319"
575,"none","32"
576,"none","32-34"
577,"none","320-327"
578,"none","321"
579,"none","321-333"
580,"none","3231"
581,"none","3238"
582,"none","3242"
583,"none","325-333"
584,"none","327--328"
585,"none","3290"
586,"none","3298"
587,"none","33"
588,"none","33-38"
589,"none","33-46"
590,"none","330--331"
591,"none","3307"
592,"none","331-334"
593,"none","332 - 341"
594,"none","333-346"
595,"none","334-341"
596,"none","335-350"
597,"none","3379 / 2005"
598,"none","34-38"
599,"none","340-355"
600,"none","341-343"
601,"none","341-353"
602,"none","3410"
603,"none","342-350"
604,"none","3446229469"
605,"none","3449"
606,"none","345-361"
607,"none","346-357"
608,"none","347--362"
609,"none","347-352"
610,"none","348"
611,"none","348-356"
612,"none","348-357"
613,"none","349"
614,"none","349-354"
615,"none","35-37"
616,"none","35-42"
617,"none","350-356"
618,"none","351"
619,"none","351-365"
620,"none","3513"
621,"none","352-365"
622,"none","353-367"
623,"none","3532"
624,"none","354"
625,"none","3540663916"
626,"none","355"
627,"none","355-360"
628,"none","3550 / 2005"
629,"none","356"
630,"none","356-361"
631,"none","356-368"
632,"none","357"
633,"none","357--368"
634,"none","357-364"
635,"none","357-378"
636,"none","358"
637,"none","359"
638,"none","359-367"
639,"none","359-369"
640,"none","359-389"
641,"none","3590"
642,"none","3596"
643,"none","36-51"
644,"none","360"
645,"none","361"
646,"none","361-382"
647,"none","362"
648,"none","363"
649,"none","365"
650,"none","366"
651,"none","3662"
652,"none","367"
653,"none","367-374"
654,"none","368"
655,"none","369"
656,"none","37"
657,"none","37-40"
658,"none","37-43"
659,"none","37-44"
660,"none","37-45"
661,"none","370"
662,"none","371"
663,"none","371-372"
664,"none","372-393"
665,"none","3729"
666,"none","373 - 399"
667,"none","373-392"
668,"none","375"
669,"none","376"
670,"none","3760"
671,"none","3762"
672,"none","378"
673,"none","378-383"
674,"none","3782"
675,"none","3782 / 2005"
676,"none","379"
677,"none","379-388"
678,"none","37th Hawaii International Conference on System Sciences (HICSS-37 2004)"
679,"none","38"
680,"none","38-39"
681,"none","380"
682,"none","380-420"
683,"none","3803"
684,"none","3808 / 2005"
685,"none","381"
686,"none","382"
687,"none","3826"
688,"none","3826576691"
689,"none","383"
690,"none","383-397"
691,"none","384"
692,"none","386"
693,"none","386-398"
694,"none","387"
695,"none","3874"
696,"none","388"
697,"none","388-395"
698,"none","389-407"
699,"none","389-418"
700,"none","39"
701,"none","3907"
702,"none","391"
703,"none","391-399"
704,"none","391-404"
705,"none","392"
706,"none","393"
707,"none","393--397"
708,"none","3932"
709,"none","394"
710,"none","395"
711,"none","396"
712,"none","397"
713,"none","398"
714,"none","398-414"
715,"none","399"
716,"none","3rd European Workshop on Scheduling and Timetabling and 3rd European Workshop on Evolutionary Methods for AI Planning (EvoSTIM/EvoPLAN-2002), Kinsale, Ireland"
717,"none","3rd International Workshop on Evaluation of Ontology based Tools (EON2004)"
718,"none","3rd World Conference on Computational Statistics & Data Analysis, Book of Abstracts p. 47"
719,"none","4"
720,"none","4-15"
721,"none","4. Deutsche ORACLE Business-Software Anwenderkonferenz"
722,"none","4.2.1"
723,"none","4.4.1"
724,"none","4/5"
725,"none","40-45"
726,"none","400"
727,"none","401"
728,"none","401-406"
729,"none","4011"
730,"none","402"
731,"none","403"
732,"none","403-425"
733,"none","404"
734,"none","405"
735,"none","405- 420"
736,"none","405--408"
737,"none","406"
738,"none","4068"
739,"none","407"
740,"none","408"
741,"none","4080/2006"
742,"none","409"
743,"none","41--60"
744,"none","41-50"
745,"none","41-52"
746,"none","41-54"
747,"none","410"
748,"none","411"
749,"none","412"
750,"none","413"
751,"none","413-426"
752,"none","414"
753,"none","416"
754,"none","417"
755,"none","418"
756,"none","4185"
757,"none","419"
758,"none","4193"
759,"none","42"
760,"none","42-48"
761,"none","420"
762,"none","421"
763,"none","422"
764,"none","423"
765,"none","424"
766,"none","425"
767,"none","426"
768,"none","426-431"
769,"none","4273"
770,"none","4275"
771,"none","429-436"
772,"none","43"
773,"none","43-50"
774,"none","43-65"
775,"none","430-434"
776,"none","4309"
777,"none","431-438"
778,"none","434-446"
779,"none","435-439"
780,"none","438-452"
781,"none","439-448"
782,"none","44"
783,"none","445-454"
784,"none","45"
785,"none","45-55"
786,"none","451-452"
787,"none","451-462"
788,"none","453-456"
789,"none","453-467"
790,"none","455-476"
791,"none","457-470"
792,"none","459-472"
793,"none","459-478"
794,"none","46-57"
795,"none","461-478"
796,"none","462-471"
797,"none","464-478"
798,"none","465-476"
799,"none","47"
800,"none","47-55"
801,"none","47-65"
802,"none","47-68"
803,"none","477-484"
804,"none","48"
805,"none","48-54"
806,"none","48-57"
807,"none","48-59"
808,"none","486-499"
809,"none","487-492"
810,"none","488-497"
811,"none","489-500"
812,"none","49"
813,"none","49-56"
814,"none","49-63"
815,"none","490-505"
816,"none","491 -- 505"
817,"none","495-505"
818,"none","496 - 498"
819,"none","499-507"
820,"none","499-517"
821,"none","4th European Workshop on Image Analysis for Multimedia Interactive Services (WIAMIS'03), London"
822,"none","4th IASTED International Conference on Web-based Education (WBE2005)"
823,"none","4th International Semantic Web Conference (ISWC'06)"
824,"none","5"
825,"none","5-9"
826,"none","50"
827,"none","50-54"
828,"none","500--506"
829,"none","500-516"
830,"none","501"
831,"none","501-513"
832,"none","506 - 514"
833,"none","506-523"
834,"none","507-515"
835,"none","508 - 517"
836,"none","509-518"
837,"none","51"
838,"none","51-58"
839,"none","51-65"
840,"none","51-70"
841,"none","514-519"
842,"none","52"
843,"none","52-53"
844,"none","52-60"
845,"none","520-529"
846,"none","523 - 533"
847,"none","523-532"
848,"none","527-550"
849,"none","53-66"
850,"none","534-546"
851,"none","536-543"
852,"none","537-548"
853,"none","541-544"
854,"none","546"
855,"none","55"
856,"none","55-63"
857,"none","552-558"
858,"none","552-565"
859,"none","557-562"
860,"none","56"
861,"none","560 - 569"
862,"none","563-572"
863,"none","564"
864,"none","565-570"
865,"none","57"
866,"none","57-62"
867,"none","57-71"
868,"none","570-583"
869,"none","579-583"
870,"none","579-598"
871,"none","58-65"
872,"none","58-72"
873,"none","59"
874,"none","59-65"
875,"none","59-69"
876,"none","59-73"
877,"none","59-83"
878,"none","592-607"
879,"none","5th International Conference on Knowledge Management"
880,"none","5th International Conference on Practical Aspects of Knowledge Management"
881,"none","6"
882,"none","6-10"
883,"none","6-7"
884,"none","6.-8.10.2003"
885,"none","6.1"
886,"none","6.2"
887,"none","6.3"
888,"none","6.4"
889,"none","6.5"
890,"none","6.6.1"
891,"none","6.6.3"
892,"none","608 4283"
893,"none","618-636"
894,"none","62"
895,"none","62--78"
896,"none","622"
897,"none","625--639"
898,"none","627 - 652"
899,"none","63-67"
900,"none","63-71"
901,"none","630"
902,"none","64"
903,"none","64-70"
904,"none","640-649"
905,"none","65-70"
906,"none","65-75"
907,"none","65-77"
908,"none","6580"
909,"none","659-675"
910,"none","66"
911,"none","66-71"
912,"none","66-80"
913,"none","662-672"
914,"none","663-670"
915,"none","667"
916,"none","67 - 82"
917,"none","67-74"
918,"none","67-78"
919,"none","67-80"
920,"none","670-673"
921,"none","674-683"
922,"none","68"
923,"none","68--69"
924,"none","683-697"
925,"none","69 - 75"
926,"none","69-76"
927,"none","690-693"
928,"none","692-706"
929,"none","6th IEEE International Workshop on Policies for Distributed Systems and Networks (POLICY 2005)"
930,"none","6th International Conference on Electronic Commerce and Web Technologies"
931,"none","6th International Conference on Information Visualisation (IV02), 10 - 12 July 2002, London, England"
932,"none","7"
933,"none","7-15"
934,"none","7. Internationale Tagung Wirtschaftsinformatik, Track InternetÃ¶konomie"
935,"none","7.1.1"
936,"none","7.1.1.a"
937,"none","7.1.1.b"
938,"none","7.1.2"
939,"none","7.2.1"
940,"none","7/06"
941,"none","70-77"
942,"none","70-79"
943,"none","70-87"
944,"none","707-722"
945,"none","707-724"
946,"none","708-717"
947,"none","71"
948,"none","71-80"
949,"none","715-748"
950,"none","716-731"
951,"none","72--76"
952,"none","72-79"
953,"none","72-81"
954,"none","72-85"
955,"none","72-86"
956,"none","722-731"
957,"none","725-738"
958,"none","729 - 735"
959,"none","73-87"
960,"none","73-88"
961,"none","74"
962,"none","74-81"
963,"none","747-748"
964,"none","75-82"
965,"none","75-96"
966,"none","750-763"
967,"none","753-762"
968,"none","754-765"
969,"none","76-83"
970,"none","76-91"
971,"none","764-775"
972,"none","765-784"
973,"none","766-777"
974,"none","767-774"
975,"none","77 - 90"
976,"none","77-86"
977,"none","77-90"
978,"none","777"
979,"none","78-85"
980,"none","78-86"
981,"none","79-88"
982,"none","8"
983,"none","8-9"
984,"none","801-818"
985,"none","81-96"
986,"none","823"
987,"none","832"
988,"none","836--854"
989,"none","85-87"
990,"none","85-90"
991,"none","85-96"
992,"none","856"
993,"none","858-875"
994,"none","867"
995,"none","87"
996,"none","87-100"
997,"none","87-112"
998,"none","87-7307-768-2"
999,"none","89"
1000,"none","89-92"
1001,"none","89-94"
1002,"none","8941"
1003,"none","897-912"
1004,"none","8th IASTED International Conference on Computers and Advanced Technology in Education (CATE 2005)"
1005,"none","9"
1006,"none","9 (5)"
1007,"none","9-16"
1008,"none","9-19"
1009,"none","9. Workshop Multimedia in Bildung und Wirtschaft"
1010,"none","9.-11. Mai 2005 in Bonn"
1011,"none","9.-11.4.2003"
