index,label
0,http://swrc.ontoware.org/ontology#abstract
1,http://swrc.ontoware.org/ontology#address
2,http://swrc.ontoware.org/ontology#author
3,http://swrc.ontoware.org/ontology#booktitle
4,http://swrc.ontoware.org/ontology#carriedOutBy
5,http://swrc.ontoware.org/ontology#carriesOut
6,http://swrc.ontoware.org/ontology#chapter
7,http://swrc.ontoware.org/ontology#dealtWithIn
8,http://swrc.ontoware.org/ontology#edition
9,http://swrc.ontoware.org/ontology#editor
10,http://swrc.ontoware.org/ontology#fax
11,http://swrc.ontoware.org/ontology#financedBy
12,http://swrc.ontoware.org/ontology#finances
13,http://swrc.ontoware.org/ontology#hasProject
14,http://swrc.ontoware.org/ontology#head
15,http://swrc.ontoware.org/ontology#homepage
16,http://swrc.ontoware.org/ontology#howpublished
17,http://swrc.ontoware.org/ontology#isAbout
18,http://swrc.ontoware.org/ontology#isWorkedOnBy
19,http://swrc.ontoware.org/ontology#isbn
20,http://swrc.ontoware.org/ontology#journal
21,http://swrc.ontoware.org/ontology#member
22,http://swrc.ontoware.org/ontology#month
23,http://swrc.ontoware.org/ontology#name
24,http://swrc.ontoware.org/ontology#note
25,http://swrc.ontoware.org/ontology#number
26,http://swrc.ontoware.org/ontology#pages
27,http://swrc.ontoware.org/ontology#phone
28,http://swrc.ontoware.org/ontology#photo
29,http://swrc.ontoware.org/ontology#projectInfo
30,http://swrc.ontoware.org/ontology#publication
31,http://swrc.ontoware.org/ontology#publishes
32,http://swrc.ontoware.org/ontology#series
33,http://swrc.ontoware.org/ontology#title
34,http://swrc.ontoware.org/ontology#type
35,http://swrc.ontoware.org/ontology#volume
36,http://swrc.ontoware.org/ontology#worksAtProject
37,http://swrc.ontoware.org/ontology#year
38,http://www.aifb.uni-karlsruhe.de/WBS/dvr/owltools/merge/type
39,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
40,http://www.w3.org/2000/01/rdf-schema#range
41,http://www.w3.org/2000/01/rdf-schema#subClassOf
42,http://www.w3.org/2002/07/owl#allValuesFrom
43,http://www.w3.org/2002/07/owl#inverseOf
44,http://www.w3.org/2002/07/owl#onProperty
