index,label
0,http://purl.org/collections/nl/am/biography
1,http://purl.org/collections/nl/am/birthDateEnd
2,http://purl.org/collections/nl/am/birthPlace
3,http://purl.org/collections/nl/am/deathDateEnd
4,http://purl.org/collections/nl/am/deathPlace
5,http://purl.org/collections/nl/am/dimension
6,http://purl.org/collections/nl/am/dimensionType
7,http://purl.org/collections/nl/am/dimensionUnit
8,http://purl.org/collections/nl/am/dimensionValue
9,http://purl.org/collections/nl/am/maker
10,http://purl.org/collections/nl/am/nationality
11,http://purl.org/collections/nl/am/termType
12,http://purl.org/collections/nl/am/title
13,http://www.openarchives.org/ore/terms/proxyFor
14,http://www.openarchives.org/ore/terms/proxyIn
15,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
16,http://www.w3.org/1999/02/22-rdf-syntax-ns#value
17,http://www.w3.org/2004/02/skos/core#broader
