instance,label_original,cls_label,cls
http://purl.org/collections/nl/am/proxy-1000,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10001,http://purl.org/collections/nl/am/t-15579,Decorative art,1
http://purl.org/collections/nl/am/proxy-10008,http://purl.org/collections/nl/am/t-15579,Decorative art,1
http://purl.org/collections/nl/am/proxy-10025,http://purl.org/collections/nl/am/t-5504,Decorative art,1
http://purl.org/collections/nl/am/proxy-1007,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10127,http://purl.org/collections/nl/am/t-5504,Decorative art,1
http://purl.org/collections/nl/am/proxy-10159,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10164,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10165,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10168,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10175,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10195,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10207,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10221,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10223,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10230,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10235,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10242,http://purl.org/collections/nl/am/t-5504,Decorative art,1
http://purl.org/collections/nl/am/proxy-10243,http://purl.org/collections/nl/am/t-5504,Decorative art,1
http://purl.org/collections/nl/am/proxy-1025,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-1026,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10268,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-1028,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10326,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-1033,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10337,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10347,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10365,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10367,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10368,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10371,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10374,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10375,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-1039,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10390,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10392,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-1040,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10404,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10405,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10406,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10411,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-1044,http://purl.org/collections/nl/am/t-22503,Prints,7
http://purl.org/collections/nl/am/proxy-10475,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10480,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10484,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10495,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10500,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10506,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10514,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10515,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10534,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10545,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10553,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10563,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10566,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10568,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10571,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10581,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10587,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10591,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10598,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10612,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10636,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10650,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10664,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10666,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10676,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10678,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10707,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10718,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10727,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10756,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10788,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10803,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10808,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10819,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10862,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10865,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10866,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10916,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10921,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10927,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10928,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10932,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10936,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10938,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10948,http://purl.org/collections/nl/am/t-22508,Metallic art,4
http://purl.org/collections/nl/am/proxy-10949,http://purl.org/collections/nl/am/t-22508,Metallic art,4
