instance,cls
992976,7
992978,1
992985,1
993004,1
993053,7
993117,1
993152,4
993158,4
993159,4
993162,4
993170,4
993192,4
993206,4
993222,4
993224,4
993232,4
993237,4
993245,1
993246,1
993253,7
993264,7
993273,4
993286,7
993337,4
993341,7
993349,4
993360,4
993380,4
993382,4
993383,4
993387,4
993390,4
993391,4
993407,7
993408,4
993410,4
993419,7
993424,4
993425,4
993426,4
993432,4
993463,7
993501,4
993507,4
993511,4
993523,4
993530,4
993536,4
993545,4
993546,4
993567,4
993579,4
993588,4
993599,4
993602,4
993604,4
993608,4
993619,4
993625,4
993630,4
993637,4
993654,4
993680,4
993694,4
993709,4
993711,4
993722,4
993724,4
993757,4
993768,4
993778,4
993810,4
993845,4
993863,4
993868,4
993880,4
993926,4
993929,4
993930,4
993986,4
993992,4
993998,4
993999,4
994004,4
994008,4
994010,4
994021,4
994022,4
994025,4
994029,4
994052,4
994056,4
994087,4
994091,4
994093,4
994108,4
994117,4
994119,4
994128,4
994134,4
994151,4
994152,4
994179,4
994241,4
994242,4
994246,4
994274,4
994301,4
994302,4
994306,1
994308,1
994312,1
994352,1
994356,1
994361,1
994384,1
994385,1
994393,1
994400,1
994401,1
994402,1
994407,1
994416,1
994425,1
994450,1
994462,1
994465,1
994489,1
994531,1
994532,1
994535,1
994538,1
994549,1
994573,1
994595,4
994614,1
994652,4
994713,4
994743,4
994778,4
994780,4
994867,1
994870,1
994887,1
994890,1
994892,1
994922,1
994929,1
994940,1
994947,1
994954,1
994964,1
994965,1
994966,1
994968,1
994972,1
994980,1
995001,1
995006,1
995013,1
995065,1
995091,1
995104,7
995112,1
995127,1
995140,1
995150,1
995159,1
995163,1
995169,7
995193,7
995196,4
995222,4
995229,4
995247,4
995249,4
995251,4
995263,4
995270,7
995284,4
995285,4
995287,4
995293,7
995300,4
995302,4
995303,4
995306,4
995310,4
995325,2
995326,7
995382,1
995410,1
995415,7
995426,7
995432,1
995447,1
995464,1
995472,1
995476,1
995484,1
995488,1
995495,1
995499,1
995501,1
995503,7
995525,1
995532,1
995533,1
995542,1
995543,1
995545,1
995554,1
995555,1
995575,1
995588,1
995591,1
995594,1
995601,1
995610,1
995617,1
995632,1
995638,1
995640,1
995643,1
995645,1
995648,7
995649,1
995650,1
995667,1
995668,1
995674,1
995680,1
995692,7
995697,1
995704,1
995721,1
995722,1
995723,1
995724,1
995728,1
995734,1
995735,1
995757,1
995771,1
995774,1
995775,1
995777,1
995779,1
995785,1
995787,1
995798,1
995800,1
995801,1
995805,1
995808,1
995813,7
995815,1
995821,1
995822,1
995832,1
995837,1
995838,1
995840,1
995847,7
995848,1
995865,1
995875,1
995878,1
995898,1
995914,1
995937,1
995938,1
995942,1
995946,1
995960,1
995982,1
995984,1
995994,1
995998,1
996016,1
996018,1
996020,1
996025,1
996029,1
996032,7
996033,1
996035,1
996040,1
996046,1
996048,1
996049,1
996061,1
996063,1
996070,1
996072,1
996082,1
996103,1
996105,1
996115,1
996119,1
996121,7
996123,1
996138,1
996141,1
996148,1
996155,1
996178,1
996182,1
996187,1
996189,1
996190,1
996193,1
996234,1
996239,1
996241,1
996276,7
996277,1
996280,1
996292,1
996299,1
996312,1
996323,1
996325,1
996345,1
996354,1
996359,1
996362,1
996387,1
996390,1
996403,1
996408,1
996414,1
996416,1
996420,1
996426,1
996439,4
996447,4
996461,1
996472,4
996481,1
996486,1
996495,1
996501,1
996509,4
996515,4
996525,4
996527,4
996528,4
996534,4
996540,4
996543,4
996548,4
996551,1
996583,1
996584,1
996593,4
996608,1
996613,1
996614,1
996619,1
996636,1
996639,1
996643,1
996651,1
996652,1
996657,1
996660,1
996673,1
996687,1
996700,1
996702,1
996703,1
996730,7
996742,1
996763,7
996766,1
996778,1
996779,1
996785,7
996789,1
996809,1
996814,1
996820,1
996821,1
996842,1
996851,1
996854,1
996857,1
996879,1
996882,1
996886,1
996887,1
996891,1
996901,1
996903,1
996912,1
996915,1
996916,1
996925,1
