dblp,wikidata
http://dblp.l3s.de/d2r/resource/authors/Arne_D._Ekstrom,http://www.wikidata.org/entity/Q43240292
http://dblp.l3s.de/d2r/resource/authors/Paul_M._Thompson,http://www.wikidata.org/entity/Q18387155
http://dblp.l3s.de/d2r/resource/authors/Susan_Y._Bookheimer,http://www.wikidata.org/entity/Q52280048
http://dblp.l3s.de/d2r/resource/authors/Feng-Biao_Guo,http://www.wikidata.org/entity/Q42146792
http://dblp.l3s.de/d2r/resource/authors/Ke_Han,http://www.wikidata.org/entity/Q61030041
http://dblp.l3s.de/d2r/resource/authors/Xianlong_Wang,http://www.wikidata.org/entity/Q43188027
http://dblp.l3s.de/d2r/resource/authors/Yaocong_Duan,http://www.wikidata.org/entity/Q60668813
http://dblp.l3s.de/d2r/resource/authors/Rodrigo_Costas,http://www.wikidata.org/entity/Q57115976
http://dblp.l3s.de/d2r/resource/authors/Thed_N._van_Leeuwen,http://www.wikidata.org/entity/Q83197643
http://dblp.l3s.de/d2r/resource/authors/Anton_Nekrutenko,http://www.wikidata.org/entity/Q30004030
http://dblp.l3s.de/d2r/resource/authors/Hassan_Ghassemian,http://www.wikidata.org/entity/Q51104770
http://dblp.l3s.de/d2r/resource/authors/Tiago_H._Falk,http://www.wikidata.org/entity/Q56317656
http://dblp.l3s.de/d2r/resource/authors/Andrea_Schenk,http://www.wikidata.org/entity/Q47171928
http://dblp.l3s.de/d2r/resource/authors/Lars_Kuepfer,http://www.wikidata.org/entity/Q52350941
http://dblp.l3s.de/d2r/resource/authors/Lars_Ole_Schwen,http://www.wikidata.org/entity/Q42530594
http://dblp.l3s.de/d2r/resource/authors/Michael_Krause,http://www.wikidata.org/entity/Q62700029
http://dblp.l3s.de/d2r/resource/authors/Alexander_J._Casson,http://www.wikidata.org/entity/Q44416377
http://dblp.l3s.de/d2r/resource/authors/Jason_H._Moore,http://www.wikidata.org/entity/Q30524432
http://dblp.l3s.de/d2r/resource/authors/Eve_Syrkin_Wurtele,http://www.wikidata.org/entity/Q44367372
http://dblp.l3s.de/d2r/resource/authors/Snehashish_Chakraverty,http://www.wikidata.org/entity/Q52329305
