doi,instance,num_citations,cls
10.1016/j.neuroimage.2008.03.039,http://dblp.l3s.de/d2r/resource/publications/journals/neuroimage/BurggrenZEBTSB08,4,1
10.1109/36.885208,http://dblp.l3s.de/d2r/resource/publications/journals/tgrs/SunR00,1,0
10.1002/asi.21348,http://dblp.l3s.de/d2r/resource/publications/journals/jasis/CostasLB10,2,1
10.1016/j.imavis.2008.01.002,http://dblp.l3s.de/d2r/resource/publications/journals/ivc/EbrahimnezhadG08,1,0
10.1016/j.asoc.2014.06.035,http://dblp.l3s.de/d2r/resource/publications/journals/asc/KarabogaG14,1,0
10.1371/journal.pcbi.1003499,http://dblp.l3s.de/d2r/resource/publications/journals/ploscb/SchwenKNGKSPK14,6,1
10.1016/j.gpb.2015.11.003,http://dblp.l3s.de/d2r/resource/publications/journals/gpb/ZhaoYSBL15,1,0
10.1093/nar/gku1010,http://dblp.l3s.de/d2r/resource/publications/journals/nar/CunninghamAB15,233,1
10.1137/110856198,http://dblp.l3s.de/d2r/resource/publications/journals/siamnum/JensenS13,1,0
10.1177/0278364911402527,http://dblp.l3s.de/d2r/resource/publications/journals/ijrr/BuchliSTS11,1,0
10.3389/fninf.2016.00012,http://dblp.l3s.de/d2r/resource/publications/journals/fini/BeareCKASRLMCSA16,1,0
10.1093/nar/gkr365,http://dblp.l3s.de/d2r/resource/publications/journals/nar/PasseriniLF11,3,1
10.1089/cyber.2012.0412,http://dblp.l3s.de/d2r/resource/publications/journals/cbsn/GabbiadiniMV13,1,0
10.1186/1471-2342-12-23,http://dblp.l3s.de/d2r/resource/publications/journals/bmcmi/HonningsvagLHSH12,2,1
10.1093/bioinformatics/btm045,http://dblp.l3s.de/d2r/resource/publications/journals/bioinformatics/JoungHNKZ07,8,1
10.1093/nar/gkn762,http://dblp.l3s.de/d2r/resource/publications/journals/nar/WilsonPZTVMCG09,21,1
10.1287/orsc.1110.0672,http://dblp.l3s.de/d2r/resource/publications/journals/orgsci/LeanaMS12,1,0
