"index","label"
0,"http://purl.org/dc/elements/1.1/publisher"
1,"http://purl.org/dc/elements/1.1/subject"
2,"http://purl.org/dc/elements/1.1/title"
3,"http://purl.org/dc/elements/1.1/type"
4,"http://purl.org/dc/terms/issued"
5,"http://purl.org/dc/terms/partOf"
6,"http://purl.org/dc/terms/references"
7,"http://swrc.ontoware.org/ontology#editor"
8,"http://swrc.ontoware.org/ontology#journal"
9,"http://swrc.ontoware.org/ontology#month"
10,"http://swrc.ontoware.org/ontology#number"
11,"http://swrc.ontoware.org/ontology#series"
12,"http://swrc.ontoware.org/ontology#volume"
13,"http://www.w3.org/1999/02/22-rdf-syntax-ns#type"
14,"http://www.w3.org/2000/01/rdf-schema#label"
15,"http://www.w3.org/2000/01/rdf-schema#seeAlso"
16,"http://www.w3.org/2002/07/owl#sameAs"
17,"http://www.wikidata.org/prop/direct/P101"
18,"http://www.wikidata.org/prop/direct/P1026"
19,"http://www.wikidata.org/prop/direct/P103"
20,"http://www.wikidata.org/prop/direct/P1035"
21,"http://www.wikidata.org/prop/direct/P1038"
22,"http://www.wikidata.org/prop/direct/P1066"
23,"http://www.wikidata.org/prop/direct/P108"
24,"http://www.wikidata.org/prop/direct/P1087"
25,"http://www.wikidata.org/prop/direct/P1327"
26,"http://www.wikidata.org/prop/direct/P140"
27,"http://www.wikidata.org/prop/direct/P1412"
28,"http://www.wikidata.org/prop/direct/P1416"
29,"http://www.wikidata.org/prop/direct/P1477"
30,"http://www.wikidata.org/prop/direct/P1559"
31,"http://www.wikidata.org/prop/direct/P1576"
32,"http://www.wikidata.org/prop/direct/P172"
33,"http://www.wikidata.org/prop/direct/P184"
34,"http://www.wikidata.org/prop/direct/P185"
35,"http://www.wikidata.org/prop/direct/P19"
36,"http://www.wikidata.org/prop/direct/P2021"
37,"http://www.wikidata.org/prop/direct/P2031"
38,"http://www.wikidata.org/prop/direct/P21"
39,"http://www.wikidata.org/prop/direct/P22"
40,"http://www.wikidata.org/prop/direct/P25"
41,"http://www.wikidata.org/prop/direct/P26"
42,"http://www.wikidata.org/prop/direct/P2650"
43,"http://www.wikidata.org/prop/direct/P27"
44,"http://www.wikidata.org/prop/direct/P2888"
45,"http://www.wikidata.org/prop/direct/P3373"
46,"http://www.wikidata.org/prop/direct/P40"
47,"http://www.wikidata.org/prop/direct/P451"
48,"http://www.wikidata.org/prop/direct/P463"
49,"http://www.wikidata.org/prop/direct/P485"
50,"http://www.wikidata.org/prop/direct/P569"
51,"http://www.wikidata.org/prop/direct/P570"
52,"http://www.wikidata.org/prop/direct/P61"
53,"http://www.wikidata.org/prop/direct/P6553"
54,"http://www.wikidata.org/prop/direct/P664"
55,"http://www.wikidata.org/prop/direct/P6886"
56,"http://www.wikidata.org/prop/direct/P69"
57,"http://www.wikidata.org/prop/direct/P737"
58,"http://www.wikidata.org/prop/direct/P802"
59,"http://www.wikidata.org/prop/direct/P803"
60,"http://www.wikidata.org/prop/direct/P856"
61,"http://www.wikidata.org/prop/direct/P910"
62,"http://www.wikidata.org/prop/direct/P921"
63,"http://www.wikidata.org/prop/direct/P937"
64,"http://www.wikidata.org/prop/direct/P97"
65,"http://xmlns.com/foaf/0.1/homepage"
66,"http://xmlns.com/foaf/0.1/maker"
67,"http://xmlns.com/foaf/0.1/name"
