index,class
282346,1
276422,4
277418,1
278994,3
279486,1
273208,1
276716,1
281200,3
277580,1
272500,1
278360,1
280852,3
274252,3
276350,4
274000,1
280242,3
274764,1
276966,3
282062,1
273816,1
274186,1
279388,1
282490,4
273768,1
282322,2
279090,2
274236,1
279744,4
279660,2
282146,1
282130,1
274646,1
273282,3
277256,4
283266,4
278860,1
274772,4
272202,1
275488,3
274424,1
277000,1
280520,3
278412,1
276748,3
272204,1
275352,2
273148,3
272284,1
283070,4
278176,1
279764,1
273162,3
278962,3
274128,3
272884,3
277238,4
275306,3
280384,1
280108,1
281382,3
273564,3
280100,1
285490,0
274162,4
277984,1
283160,4
277838,1
274388,1
273556,1
278786,3
281920,1
272796,1
279918,2
280190,2
283176,4
276788,1
282080,1
276428,2
273338,3
276152,1
278810,3
276446,1
276450,1
278068,1
274856,3
276970,3
281774,1
280954,4
278636,1
273664,2
279006,3
281164,3
274790,1
275832,2
277802,4
280030,4
282534,4
279994,3
280048,3
278344,1
279962,4
276884,1
282118,1
272594,4
279702,3
282506,4
281092,3
272288,1
280532,3
274496,4
279934,3
281618,3
278702,4
282226,3
272332,3
277138,3
274714,3
274766,1
281814,1
282876,2
272100,2
279326,1
282220,3
281368,3
277342,1
277980,1
281320,4
278550,1
278404,1
274420,1
275064,2
281746,1
280010,4
272190,1
281174,3
281666,3
281154,3
281870,1
281740,2
278472,1
278884,1
274262,4
272836,2
280508,3
277216,1
273734,1
280212,1
275412,1
274736,4
281328,4
281834,1
281426,1
276444,4
279622,2
280748,1
281138,3
272192,1
273380,1
278112,1
276078,1
272488,4
281450,3
274356,1
272156,1
274402,1
272318,3
275490,4
283900,0
277390,1
275234,1
276048,1
274372,1
279812,1
278672,3
280306,1
277878,1
276828,3
282936,4
276582,3
275934,3
277058,1
274914,2
272582,3
280544,2
280830,4
272522,1
282284,3
283564,4
274442,1
278178,1
278438,1
277500,1
280734,2
273850,3
273634,3
279654,3
272224,1
277016,1
276338,1
281878,4
277626,1
278998,3
276636,2
274176,1
281420,1
282856,2
273266,1
280626,1
275082,4
273436,3
279470,1
273432,1
274978,3
273586,3
280988,3
285206,0
277540,4
272990,1
276282,1
276172,1
272648,3
282428,4
273982,1
273612,1
281354,3
279312,1
280332,2
273566,3
272890,3
282152,4
280066,3
274770,1
274568,2
279956,3
276562,1
274898,3
282326,3
279264,4
274688,2
272902,3
272718,2
273814,1
282052,1
277114,0
278378,1
278062,1
279296,3
272304,3
272480,0
281748,1
278936,1
273520,3
274084,4
275066,2
279846,1
276700,3
281284,3
277918,4
273884,2
282158,1
275430,1
278528,1
282058,1
278766,1
282328,3
275510,3
282218,3
282512,4
272552,3
272150,1
278180,1
283508,4
281654,3
281072,3
281830,1
272462,4
280150,1
281698,1
275428,1
277392,1
278940,3
273250,1
281378,3
274052,2
273030,3
272828,2
278334,1
274048,3
275680,4
280968,3
277914,3
273084,3
277386,4
273270,1
273896,1
273126,3
280038,3
281120,3
273236,1
281410,3
280044,3
279076,4
284354,0
282318,4
281760,4
278838,3
273906,1
279686,3
273318,1
279050,3
283812,4
274170,1
274470,1
282484,2
276018,1
280550,3
281274,3
273116,3
277630,1
285084,0
278320,1
279220,1
280432,1
274396,1
282010,1
281682,1
277780,1
277468,1
279872,3
274954,3
276576,3
281736,4
276182,1
274690,2
279284,3
280856,3
278600,1
278046,1
272886,1
283594,4
280812,3
281692,3
274168,1
273450,2
277950,3
273080,2
282526,2
275046,3
274916,2
281236,4
276706,4
272390,1
273918,1
275932,3
276910,3
276800,1
272834,3
276396,1
272414,1
281216,3
281824,1
280472,2
274046,3
279758,1
279080,4
283090,4
272448,1
280202,1
272972,4
273620,1
274910,3
280068,2
278654,2
275978,3
277898,0
281548,1
276076,1
280268,3
275130,3
278782,4
278554,1
278974,3
273702,3
272950,4
275916,4
282208,4
281620,4
272534,1
273760,1
272138,3
279650,2
272612,3
278880,3
272112,1
277272,1
280866,3
283690,0
276062,1
280078,1
280502,3
279202,1
279234,1
281286,0
272608,4
274722,1
277190,1
276598,3
283364,4
276944,2
278986,3
278836,3
272226,1
282442,3
277776,3
278274,1
275404,1
276166,1
276710,3
273310,1
273782,1
284422,0
274860,2
273880,3
282096,1
274866,1
274432,1
276912,3
275304,1
274944,3
277814,2
281304,1
280864,3
272490,1
278036,1
276082,1
273276,4
275938,1
279810,4
277164,4
279072,3
282978,2
274554,3
274196,1
273704,4
277188,2
279582,1
276806,0
273598,1
272912,2
277698,4
281988,1
275454,3
275640,3
275564,4
281808,1
273462,3
283372,4
272688,4
279778,1
280252,4
282182,3
276950,3
276842,1
277800,0
276754,3
281318,1
272914,4
272738,1
281926,1
274376,1
279870,3
272848,0
278510,1
276692,3
281206,3
276750,3
273234,1
281998,1
280612,4
275080,4
282254,1
272638,3
277192,2
275708,4
279896,1
280696,3
277624,1
278996,3
273878,4
275720,0
275718,3
275876,4
273358,3
275320,3
281198,1
275002,3
277182,3
279144,3
274704,1
281360,3
277060,1
283696,4
277394,1
272274,1
278370,1
273678,2
274526,3
279046,3
280554,3
277438,1
283592,4
272920,2
274812,1
272186,1
282196,3
280034,1
273076,4
276690,3
277710,1
276220,1
277856,3
276296,1
279518,4
274032,4
272570,0
274744,4
279726,3
280154,1
282070,1
276578,3
281714,2
273002,1
278920,2
282134,1
278410,1
275714,4
280422,1
274820,3
276218,1
280766,2
279588,1
277512,4
282466,3
273692,1
277518,1
282820,2
274778,3
272094,3
273892,2
274298,4
276960,2
276552,1
279362,1
282140,3
281302,4
274362,1
273726,1
275882,0
279944,3
283952,0
280350,0
274946,3
277708,1
274504,2
275014,4
274868,4
274514,3
274872,1
272086,3
284164,0
274720,3
276866,1
272910,1
280282,2
277860,3
280062,3
282528,4
276240,1
273854,4
273528,3
272290,1
273440,3
274216,1
275442,2
276648,3
275192,1
273532,2
276804,1
277030,1
278474,1
281422,1
283100,4
279014,3
280102,1
279334,1
279342,1
274724,3
282148,1
275930,3
275268,1
276080,1
276506,4
276722,4
280998,1
274638,1
282446,2
282358,1
272420,1
273558,1
277730,1
281462,1
273446,3
279776,1
275362,1
277112,1
280180,4
280160,1
277992,1
278616,1
275302,1
272888,1
272876,1
275398,1
278536,1
274960,2
280430,1
279522,4
277996,1
275290,1
275554,1
282230,3
273992,1
273174,3
276982,3
277906,1
276356,1
285396,0
281952,1
277680,1
278664,3
275222,1
275142,3
275826,2
279110,3
279468,1
281278,4
277922,4
276600,3
278680,4
273054,3
275688,1
272838,3
282454,3
278450,1
278310,1
276580,3
276026,1
275112,3
275258,1
278262,1
280372,1
282324,2
280198,1
275878,3
279112,3
273478,3
278696,1
277088,1
272708,2
273508,3
278508,1
279536,2
275988,3
279128,3
272518,1
278328,1
281458,4
281376,3
281822,1
275204,1
272944,4
274558,4
281772,1
276190,1
277020,1
277334,1
278338,1
274918,3
281046,1
282004,1
280986,3
279784,3
273582,3
272986,1
281804,1
280802,3
272496,1
279208,1
272842,3
275962,3
285536,0
272562,3
278150,1
280606,4
273974,1
281446,1
280452,4
274006,1
281010,3
274026,2
281332,1
282024,1
275706,1
274478,1
279534,4
273448,3
276106,1
278140,1
277844,1
274556,3
277404,1
277212,1
273402,1
273522,3
277510,1
283602,4
278602,1
274826,4
272932,4
281478,1
276674,3
277916,4
274528,3
273748,1
274092,4
276472,1
277458,1
272246,1
272750,1
281786,1
279578,1
275096,0
272104,1
275122,4
285576,0
278198,1
274316,1
281110,3
276314,1
278828,1
272870,4
280706,3
272468,4
274958,3
281280,1
278558,1
276468,1
276488,4
277714,1
282256,2
279070,3
274312,1
277370,1
280794,1
278862,4
274210,1
273654,3
276540,1
280318,4
275084,3
277152,4
282036,1
280370,1
282952,4
277282,1
281858,1
279564,3
281058,3
280506,3
277304,1
273936,1
274324,1
282206,3
273452,4
275326,4
278442,1
280908,3
274206,1
273012,1
276052,1
280824,4
275120,3
281900,1
281310,2
278158,1
274338,1
273362,3
279396,3
274386,1
276762,1
276946,3
285398,0
283734,4
280820,3
275678,4
279156,0
277822,4
272088,4
278326,1
275466,2
272142,3
274076,1
273836,1
277118,3
279576,1
274014,1
274494,2
278100,1
275690,1
277762,3
275244,1
278488,1
277524,1
273790,1
274094,4
280162,1
273384,2
282436,2
274314,1
276164,1
278580,1
273590,1
275388,1
277594,1
278034,1
278424,4
278726,3
272346,3
275184,1
273580,4
275102,3
273370,3
276150,1
280346,3
274452,1
279256,1
279816,1
272790,1
272574,3
276740,3
277368,1
281832,1
272798,4
285186,0
273840,1
277448,1
280222,4
281390,3
277160,2
272882,1
282458,3
274702,1
278892,3
272660,4
277174,2
279648,3
278520,1
277102,1
273242,1
277094,1
278390,1
275550,1
275220,1
275354,4
279288,1
281146,3
276908,3
278074,1
273430,4
277346,1
278278,1
276896,3
276216,1
281170,1
274486,4
274822,1
272440,1
272244,1
278728,1
274610,1
277264,1
285414,0
279252,1
279572,3
272476,1
273998,1
276796,1
280450,4
279876,3
275336,2
280146,1
282194,3
278304,1
280460,1
279884,3
273838,0
273468,1
278692,3
279004,3
275814,4
278114,4
272770,1
272278,4
272774,1
275722,4
274912,1
279748,1
274340,1
279126,3
278468,1
273680,2
279398,4
272810,1
280428,1
283692,4
280576,4
282204,3
277148,0
281716,3
278148,1
280042,3
277874,4
273200,1
283920,0
278576,1
272996,1
273830,1
274732,3
284914,0
280952,4
273812,1
273014,1
280816,3
273172,3
279704,4
276606,3
273118,0
273762,1
274462,1
276490,1
273978,1
278240,1
275912,3
273128,3
276858,3
276872,1
272572,3
283172,4
276312,1
273100,4
279180,3
278506,1
275758,1
274100,1
284446,0
279504,1
281986,1
280396,1
272442,1
280854,3
281802,1
278194,1
281034,4
281252,4
276192,1
279354,3
281584,3
278590,1
274266,3
272508,1
275782,1
281228,3
277988,1
275480,1
280636,1
280910,3
279184,2
274230,4
275228,1
278950,4
279860,1
277584,1
277352,1
274260,3
273416,3
276412,1
277880,4
279614,3
275382,1
279018,3
278626,1
277588,1
280504,3
282092,1
278396,1
274712,3
276784,1
278514,1
276838,1
273514,3
273940,1
282344,1
273414,3
282270,3
278154,1
276180,1
278972,3
280646,1
278618,1
279868,3
278660,2
277492,1
278904,2
273648,0
282072,1
280426,4
282306,3
278196,1
273976,1
276988,1
277834,0
273260,2
275526,1
280498,3
279762,1
274620,4
284426,0
275970,3
272702,2
276620,1
276058,1
275022,3
275590,1
274550,3
275074,4
281090,1
281104,3
276364,1
272600,3
276928,3
278086,1
278978,3
281690,3
277976,1
281166,3
273828,1
281234,1
275444,0
276400,1
276010,1
281240,3
280650,1
275018,0
276352,1
273606,2
274116,1
282352,1
276588,3
281294,3
279376,3
280814,3
275634,1
275734,4
279016,3
274566,3
276360,1
272704,1
281180,3
279002,3
280024,4
272580,0
279262,4
279300,3
278634,1
278006,1
280632,2
278026,1
277890,3
273530,3
279390,3
276362,1
282124,1
277772,1
282308,3
273774,4
278564,1
277904,2
276116,1
272658,3
277998,1
276914,3
275576,3
277740,1
273184,3
280994,3
279242,1
275252,1
281392,3
277106,1
272114,1
275946,0
280488,1
281538,1
274582,1
274254,3
275248,1
273352,3
281554,3
276572,2
274464,1
280040,3
276394,1
273042,4
281184,3
274140,4
274664,4
276984,3
285430,0
281744,4
279842,1
277694,1
280474,1
277550,2
273198,3
279722,4
278402,1
277990,1
279548,3
280916,3
273764,1
272864,2
272504,1
274072,1
272946,2
280092,1
278476,1
274010,3
281178,3
275380,1
273806,1
277454,1
274476,3
279282,4
282296,3
275236,1
276810,2
275928,2
273300,3
281880,3
280080,1
275516,3
282998,4
276512,1
281574,3
281142,3
280542,3
279214,3
275502,3
281336,2
275040,2
272194,1
275076,0
276384,1
281434,1
278414,4
277028,1
274570,3
278982,3
272716,2
275486,3
283164,4
278744,0
279556,3
280326,3
274654,1
273736,1
272428,1
280478,1
279888,3
280928,3
277078,1
281452,1
281018,3
277774,0
281078,1
277162,3
274880,1
272696,4
277194,3
281528,1
279802,1
278482,4
272292,1
275588,1
274182,1
275940,3
273926,1
278534,1
280804,3
280798,4
281888,1
280724,2
277652,1
279634,4
278850,1
274780,1
275000,2
275724,1
281232,1
274200,1
276658,3
275794,1
274190,1
275742,3
275494,3
273706,4
275626,3
276200,1
279292,1
276808,1
275146,4
280510,3
273248,1
277092,1
277900,3
278916,3
282336,1
281026,3
279792,1
276734,3
282268,0
277208,1
277156,3
272724,1
278264,1
272694,2
276376,1
277660,1
275314,4
273488,1
280204,4
273516,3
281196,3
281790,1
273996,1
272662,4
281350,3
280674,1
279532,4
273876,2
278294,1
282054,1
278456,1
280462,4
274290,1
274612,4
280682,1
277254,1
279204,3
276098,1
278400,1
279056,3
274096,1
273104,4
275888,3
276826,1
277130,2
285074,0
273078,3
279930,4
275134,3
277226,1
279330,1
278130,1
276686,3
272994,4
277552,1
280292,4
272978,4
277068,1
280098,1
275874,4
280104,1
279642,2
272368,3
282164,3
275520,1
275010,4
275358,1
281224,1
278700,1
273600,1
282162,3
276568,3
275922,3
280848,4
273272,1
273728,1
278188,1
277100,1
279258,1
282380,1
277358,1
281906,1
272650,3
277648,1
279506,1
280600,2
280738,2
273028,1
279028,1
272238,1
279418,3
277246,1
272808,1
273644,3
279100,3
282276,0
276846,1
276266,1
282980,4
281202,1
279276,2
281226,2
278976,3
273984,4
273434,4
278870,4
274760,3
276138,1
274696,3
279044,3
274240,1
273168,3
280014,4
277228,1
273130,3
282462,3
281140,3
275498,3
278722,1
275972,2
277812,3
276720,0
278776,3
280782,1
273312,1
281796,1
274080,3
279880,3
276278,1
274114,1
273894,4
276206,1
274850,2
282502,4
275534,1
272228,1
277810,1
273152,3
273540,4
278686,4
281086,1
281190,1
282104,1
275628,3
280920,1
276442,1
280036,1
277270,1
272484,1
281520,1
281258,2
272776,1
273964,1
280324,2
277542,1
273868,1
282094,1
279964,4
274134,1
274368,1
280680,1
280490,1
278914,3
280046,2
273228,1
273610,3
277908,3
275458,3
279440,2
275056,4
274456,1
279976,1
275764,3
272152,1
275544,1
273864,4
280314,2
275448,2
277248,1
281050,3
275366,1
272794,1
274970,3
275472,3
282956,4
279374,3
281628,1
273480,1
276732,1
278530,1
272900,3
279294,0
274698,3
276668,3
278290,1
279472,4
275748,4
276066,1
280228,2
273550,3
276610,1
274604,1
275116,4
275604,3
273682,2
276158,1
276714,1
273222,4
275926,3
279966,1
276038,1
272786,1
273890,3
274188,1
280762,1
273656,0
280690,3
276132,1
276202,1
277602,1
280678,1
281116,4
275386,1
278738,1
276110,1
274572,2
278522,1
284050,0
273196,3
277434,1
280676,1
281490,1
277396,1
276480,1
278684,1
276820,1
277720,1
279136,3
279132,1
272526,1
272576,3
278004,1
277308,4
274520,1
276336,1
276000,1
277336,1
276496,1
280278,3
276230,1
282362,1
276280,1
272992,4
279428,3
281580,4
281856,1
281812,1
276824,3
277180,3
278610,1
272232,1
275770,1
283256,4
278440,1
276410,1
278562,1
276288,1
273378,1
277050,1
278842,4
275822,2
274352,1
273652,3
276570,2
276122,1
281334,2
274516,1
275886,3
280358,1
274498,2
281186,1
277876,4
274808,4
272952,2
272832,4
273164,3
279168,2
282078,1
274488,4
280718,3
277318,4
274718,3
279644,2
277366,1
280616,3
274364,1
283808,4
279336,1
275952,3
273700,1
280808,3
276498,1
272896,1
272816,1
274552,3
281968,1
273120,2
285252,0
278244,1
274152,2
277532,1
279528,4
275152,3
275668,1
282962,4
277576,1
276210,1
277472,1
275894,4
279684,3
275094,3
279682,1
274412,4
275278,4
275944,3
281408,3
278356,1
276236,1
273486,1
280970,3
284042,0
276542,1
279298,3
273246,2
282136,4
280404,1
277920,1
274400,4
277848,3
280294,3
272474,4
282348,1
279832,1
272588,2
277158,3
275140,3
276134,1
279844,1
277222,1
276672,3
281474,1
280074,1
280976,3
275738,1
281534,1
274158,0
276198,4
280296,3
276160,1
279340,1
275880,3
276882,1
272906,4
277444,1
282450,3
282298,3
278886,3
273190,3
279416,1
273722,3
281488,1
272548,1
274384,1
272222,1
282240,3
277478,1
274648,1
278258,1
279838,1
279224,1
276790,1
281162,1
272726,1
275006,0
279540,4
282198,3
280834,4
275812,3
279640,2
281890,1
277172,2
279024,4
279032,2
274120,1
277328,1
278324,1
277274,1
279512,2
273320,1
272536,1
273510,3
278780,1
277136,3
278932,1
276628,3
275830,3
272164,1
278846,1
281502,1
276124,1
275214,1
278516,1
283570,4
281680,3
275682,4
284646,0
277356,1
278232,1
278210,1
275418,1
282022,0
279124,3
281296,4
276020,1
283352,4
272174,1
279798,3
276224,1
272282,1
282772,0
281218,1
277804,1
280480,1
275144,3
274286,1
276036,1
274988,3
273526,3
279078,1
279992,4
279770,1
273670,3
278566,1
277400,1
275058,4
281766,1
283206,4
272298,1
277062,1
281756,1
276146,1
280244,3
272406,3
280266,3
275178,1
275456,4
273608,1
282834,0
278352,1
279672,4
278298,1
273072,3
274320,1
280644,1
272592,3
275610,1
276348,1
276698,3
281330,1
273698,1
275136,0
277178,3
275786,1
272378,3
276042,1
277056,1
272958,3
280586,3
273746,1
280844,4
277986,1
274802,0
281688,3
278354,1
278162,1
274512,0
281156,3
281862,1
273220,1
277258,1
277706,1
279304,1
276440,1
273158,2
276744,3
277074,1
276344,1
276144,1
275632,4
273944,1
280828,1
275330,3
279698,3
274844,4
277666,4
273688,4
278464,1
274174,1
285556,0
276958,3
276486,1
280286,1
281282,1
280096,4
282968,2
278070,1
284172,0
279996,2
278116,1
277146,3
278830,4
274660,1
272644,4
280712,3
277200,1
279232,1
282516,4
275114,2
272466,1
279212,3
282286,4
273442,3
279794,1
272134,4
274394,1
283662,4
282376,1
278206,1
276186,1
283518,0
274782,1
272922,4
285472,0
281194,3
280418,1
285418,0
276070,1
277170,3
283814,0
275918,3
281402,3
276270,1
282456,3
280666,1
279982,1
280538,3
282252,3
277590,1
273322,3
275838,4
275008,3
276558,1
273886,2
278734,1
274992,3
277332,1
275696,4
281586,4
277220,1
278798,2
279636,4
281424,1
280800,2
275124,3
274830,3
274154,2
274952,3
277294,1
282452,3
276354,1
284980,0
272258,1
272118,4
276772,1
276090,1
282378,1
281456,2
276424,4
275218,1
282986,2
274942,3
275394,1
273020,1
285216,0
276640,2
281626,1
277110,1
278928,1
277126,1
275658,1
278454,1
280594,4
277432,1
274450,1
278430,1
280388,1
275202,1
284440,0
277490,1
278426,1
278930,1
278834,3
282554,4
281406,3
279560,0
276114,1
280564,1
275160,3
281064,3
272756,4
277474,1
278368,1
278342,1
275666,1
283080,0
272988,4
272108,1
280132,1
276258,1
281800,1
277348,1
274392,1
276040,1
276604,3
279524,2
275384,1
275538,1
274632,4
282192,3
282026,1
279510,1
275850,1
278568,1
272898,1
280248,3
280320,2
274816,1
272492,1
276092,1
272804,1
285632,0
273074,4
272096,1
279766,1
281342,3
273366,3
278608,1
280052,3
275566,3
274964,3
279998,3
283714,4
278596,1
276464,4
282900,2
280892,3
281672,3
274050,3
277798,3
272852,2
277902,3
278272,1
279592,1
276954,3
281912,1
278246,1
280574,2
276154,1
278934,1
278882,1
275426,1
274054,4
282258,0
274036,3
281118,3
279430,3
273110,0
283078,4
276430,4
283284,4
278098,1
280836,3
280112,1
278746,2
276886,1
275992,3
272976,2
281602,3
281894,1
281590,3
280458,0
272676,4
285376,0
276226,1
280940,4
274042,3
281876,1
279246,1
278912,3
282150,1
273908,1
281576,4
280090,1
276194,1
278674,2
279116,3
274652,4
275162,2
272266,1
280444,1
275052,3
282832,4
276920,3
274588,1
273710,4
273268,1
274220,1
280764,1
278362,1
272856,2
274836,3
275596,1
275638,3
277790,2
273472,1
279152,3
285470,0
281770,2
274928,4
273694,1
277912,1
276836,4
275070,3
278348,1
280894,3
282050,1
274380,1
275518,3
273914,1
274674,1
276586,2
275898,0
274276,3
282068,1
279894,3
275292,3
272270,1
282338,1
272926,4
282090,1
272554,3
281592,4
273296,4
282918,4
279432,3
279954,1
281568,4
280206,4
281706,2
280548,3
279796,1
272436,4
275154,3
273662,2
276792,1
282032,1
275868,3
274922,1
285476,0
276094,1
278316,1
276590,3
273068,3
274184,1
277938,3
277312,1
278318,1
277850,4
274948,3
277526,1
275254,1
281696,4
279434,3
278204,1
277530,4
279494,1
276900,3
277574,1
275400,1
279360,3
280272,3
273672,3
278656,3
278280,1
278382,1
282076,1
276324,3
281494,4
278420,1
276004,4
277402,1
278732,1
282224,3
275190,1
276774,1
275168,1
276456,1
274300,1
275092,3
276416,1
273382,3
272918,3
280962,3
273626,2
277954,4
285388,0
278160,1
279150,3
280582,3
272110,1
278760,4
276030,1
274994,2
282482,2
276962,2
275936,3
282248,2
277606,1
272636,3
277684,1
275086,4
272546,1
277978,1
278572,1
281470,1
274480,2
278624,1
276556,1
276300,1
274008,1
273376,1
272844,0
272250,1
276942,3
274278,3
282114,4
281658,3
282440,4
279306,3
274996,3
279346,1
274294,1
278742,2
280568,1
274390,1
278774,1
279808,1
277828,1
273602,1
280770,3
276904,3
274110,1
277414,1
272370,1
272564,1
281778,1
274090,4
281604,3
275964,3
281780,1
275044,3
273112,3
272960,3
274148,1
281374,3
282814,0
279316,1
275844,1
275308,2
276832,1
279680,1
275904,0
273912,1
274274,4
275340,4
279372,3
275548,4
281384,1
277600,1
280188,1
276434,2
275654,1
274180,4
274672,1
272356,3
280882,3
278000,1
273560,3
274692,2
281168,3
278330,1
276112,1
279526,4
281220,1
278218,1
275800,3
282042,1
280434,1
280392,1
277868,3
284878,0
281418,3
282180,3
278216,1
277734,1
281480,1
274700,4
274232,2
276670,1
281966,1
276500,1
277634,1
279632,1
278642,4
282214,3
273412,3
280120,1
276594,2
275206,1
272924,1
282330,3
273618,4
282264,4
277128,2
273150,3
275692,3
279652,3
279084,2
275562,3
279082,4
277120,1
281866,1
277124,3
278332,1
277362,1
273754,1
278380,1
277560,1
279950,1
274086,3
275746,3
277424,1
279612,4
273832,1
282168,3
275332,4
279914,3
272678,4
280708,1
272198,1
282888,0
278818,3
276476,1
275360,1
274594,1
272302,1
273942,1
275672,2
273140,0
272850,1
272674,1
274726,1
281176,4
280578,4
279452,3
277960,4
276778,1
277240,1
277076,1
276770,1
276388,1
272934,1
274224,1
281484,2
274132,3
277852,4
279580,1
276392,1
275446,2
275438,2
273134,3
275118,4
277036,1
274068,1
272486,1
274172,1
276544,1
282474,3
274538,0
280220,2
281560,1
279646,4
282236,3
281266,2
278824,2
275270,3
273186,3
273044,3
275592,3
279228,1
282108,1
276584,2
273314,3
281546,1
280002,4
279138,0
282808,4
278646,1
