index,class
678061,5
665081,2
684285,5
674031,3
668955,3
733201,11
672369,5
653421,3
672799,5
676507,1
661773,12
672233,3
733285,11
666467,3
683877,11
696411,2
682133,3
681855,3
665729,3
662641,3
673999,3
713055,7
670681,5
661005,5
700397,10
698413,7
685983,3
665607,3
681453,10
661463,3
651045,3
667369,3
670095,3
687587,5
711537,11
674659,10
677999,3
669729,3
658017,3
681651,3
683693,5
670039,3
679581,3
660311,3
664277,2
672985,2
681099,3
684003,3
720619,4
670663,5
655447,5
678303,2
717819,10
650377,3
660275,3
684981,3
663453,3
669923,8
683755,5
693777,5
663813,3
678733,5
666365,3
666013,3
675839,3
693509,5
703113,11
675989,3
660251,3
660701,5
654311,5
672787,3
719879,4
662951,3
681455,3
672471,3
653441,3
656445,3
693841,2
684939,3
725321,10
683951,3
675859,3
666177,3
651537,3
658083,5
698821,5
685349,3
724309,11
676189,3
683285,3
650599,3
658239,5
682289,3
671033,3
669307,3
683731,3
678253,2
693019,2
678003,9
725229,10
683705,5
660161,3
652145,3
664003,3
668177,5
659685,3
684119,3
672195,3
676607,5
658253,5
650653,3
685509,3
654637,3
652677,3
693809,5
724245,7
728789,11
650699,3
680643,3
669239,3
664255,3
670981,3
652837,5
660853,3
665575,3
662433,3
679017,5
731525,7
671399,3
670987,3
653003,3
675139,3
688451,5
684529,3
670829,7
672661,9
652471,3
667491,2
660543,5
683007,5
660051,3
675423,3
653525,3
724179,7
652223,3
673065,3
676201,1
679573,3
675325,5
679375,3
650387,3
668223,2
675589,3
649599,3
680999,3
664001,3
654421,3
721913,11
652497,3
666927,3
732637,11
676417,3
708579,7
664095,3
721735,11
670019,3
659823,11
704431,6
656359,3
682937,12
672163,3
649701,3
675855,3
677339,3
686065,3
681753,3
668785,3
664355,3
669571,3
664559,3
685711,3
693713,0
675455,3
727883,11
653665,3
663435,3
693233,5
719613,11
678237,5
658261,5
721961,11
674593,3
729925,7
681477,3
733347,11
667961,2
652365,5
662355,10
677613,3
663585,3
668077,3
670719,3
679337,9
720659,4
672655,3
