"index","label"
0,"http://www.wikidata.org/prop/direct/P10"
1,"http://www.wikidata.org/prop/direct/P102"
2,"http://www.wikidata.org/prop/direct/P103"
3,"http://www.wikidata.org/prop/direct/P1038"
4,"http://www.wikidata.org/prop/direct/P1040"
5,"http://www.wikidata.org/prop/direct/P1050"
6,"http://www.wikidata.org/prop/direct/P106"
7,"http://www.wikidata.org/prop/direct/P1066"
8,"http://www.wikidata.org/prop/direct/P108"
9,"http://www.wikidata.org/prop/direct/P109"
10,"http://www.wikidata.org/prop/direct/P118"
11,"http://www.wikidata.org/prop/direct/P119"
12,"http://www.wikidata.org/prop/direct/P1191"
13,"http://www.wikidata.org/prop/direct/P1196"
14,"http://www.wikidata.org/prop/direct/P1283"
15,"http://www.wikidata.org/prop/direct/P1303"
16,"http://www.wikidata.org/prop/direct/P1317"
17,"http://www.wikidata.org/prop/direct/P1327"
18,"http://www.wikidata.org/prop/direct/P1340"
19,"http://www.wikidata.org/prop/direct/P1343"
20,"http://www.wikidata.org/prop/direct/P1344"
21,"http://www.wikidata.org/prop/direct/P135"
22,"http://www.wikidata.org/prop/direct/P136"
23,"http://www.wikidata.org/prop/direct/P138"
24,"http://www.wikidata.org/prop/direct/P140"
25,"http://www.wikidata.org/prop/direct/P1411"
26,"http://www.wikidata.org/prop/direct/P1412"
27,"http://www.wikidata.org/prop/direct/P1424"
28,"http://www.wikidata.org/prop/direct/P1431"
29,"http://www.wikidata.org/prop/direct/P144"
30,"http://www.wikidata.org/prop/direct/P1442"
31,"http://www.wikidata.org/prop/direct/P1449"
32,"http://www.wikidata.org/prop/direct/P1455"
33,"http://www.wikidata.org/prop/direct/P1476"
34,"http://www.wikidata.org/prop/direct/P1477"
35,"http://www.wikidata.org/prop/direct/P1532"
36,"http://www.wikidata.org/prop/direct/P154"
37,"http://www.wikidata.org/prop/direct/P1559"
38,"http://www.wikidata.org/prop/direct/P1576"
39,"http://www.wikidata.org/prop/direct/P161"
40,"http://www.wikidata.org/prop/direct/P162"
41,"http://www.wikidata.org/prop/direct/P166"
42,"http://www.wikidata.org/prop/direct/P170"
43,"http://www.wikidata.org/prop/direct/P172"
44,"http://www.wikidata.org/prop/direct/P175"
45,"http://www.wikidata.org/prop/direct/P179"
46,"http://www.wikidata.org/prop/direct/P18"
47,"http://www.wikidata.org/prop/direct/P180"
48,"http://www.wikidata.org/prop/direct/P1801"
49,"http://www.wikidata.org/prop/direct/P1814"
50,"http://www.wikidata.org/prop/direct/P1830"
51,"http://www.wikidata.org/prop/direct/P185"
52,"http://www.wikidata.org/prop/direct/P1853"
53,"http://www.wikidata.org/prop/direct/P1875"
54,"http://www.wikidata.org/prop/direct/P1877"
55,"http://www.wikidata.org/prop/direct/P1884"
56,"http://www.wikidata.org/prop/direct/P1889"
57,"http://www.wikidata.org/prop/direct/P19"
58,"http://www.wikidata.org/prop/direct/P1942"
59,"http://www.wikidata.org/prop/direct/P195"
60,"http://www.wikidata.org/prop/direct/P1950"
61,"http://www.wikidata.org/prop/direct/P1971"
62,"http://www.wikidata.org/prop/direct/P20"
63,"http://www.wikidata.org/prop/direct/P2001"
64,"http://www.wikidata.org/prop/direct/P2031"
65,"http://www.wikidata.org/prop/direct/P2032"
66,"http://www.wikidata.org/prop/direct/P2047"
67,"http://www.wikidata.org/prop/direct/P2048"
68,"http://www.wikidata.org/prop/direct/P2061"
69,"http://www.wikidata.org/prop/direct/P2067"
70,"http://www.wikidata.org/prop/direct/P2094"
71,"http://www.wikidata.org/prop/direct/P2130"
72,"http://www.wikidata.org/prop/direct/P2142"
73,"http://www.wikidata.org/prop/direct/P22"
74,"http://www.wikidata.org/prop/direct/P2348"
75,"http://www.wikidata.org/prop/direct/P241"
76,"http://www.wikidata.org/prop/direct/P2515"
77,"http://www.wikidata.org/prop/direct/P26"
78,"http://www.wikidata.org/prop/direct/P2632"
79,"http://www.wikidata.org/prop/direct/P264"
80,"http://www.wikidata.org/prop/direct/P27"
81,"http://www.wikidata.org/prop/direct/P272"
82,"http://www.wikidata.org/prop/direct/P31"
83,"http://www.wikidata.org/prop/direct/P3174"
84,"http://www.wikidata.org/prop/direct/P3275"
85,"http://www.wikidata.org/prop/direct/P3373"
86,"http://www.wikidata.org/prop/direct/P3383"
87,"http://www.wikidata.org/prop/direct/P344"
