instance,cls_label,cls
http://www.wikidata.org/entity/Q100716053,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q3633952,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q506352,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q886154,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q217619,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q6106085,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q3807704,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q596888,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q1354583,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q2412911,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q212532,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q10884554,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q216870,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q17417513,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q313981,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q66091313,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q1609787,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q2546799,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q102994,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q1364339,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q827443,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q1077862,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q5534721,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q7815916,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q22260586,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q2793326,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q17523925,http://www.wikidata.org/entity/Q6581072,7
http://www.wikidata.org/entity/Q175535,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q4103889,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q3086836,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q25161,http://www.wikidata.org/entity/Q6581097,8
http://www.wikidata.org/entity/Q21527246,http://www.wikidata.org/entity/Q6581097,8
