index,class
98268,8
192233,8
216487,8
265639,8
153907,8
232398,8
198748,7
230632,8
115548,8
161019,8
149162,8
102729,7
153750,8
133795,8
181244,8
239876,7
124976,8
164480,7
100105,8
116071,8
259315,8
102285,8
224898,8
255185,8
155206,7
170911,7
134364,7
134531,8
202216,8
179773,8
163692,8
153232,8
173212,8
229473,8
103018,7
174404,8
123255,8
167374,7
189284,8
176235,8
219960,8
273313,8
110642,7
248801,8
155096,8
258674,8
207042,7
247510,8
189964,8
222727,8
210609,8
106138,8
121308,8
158195,7
204737,7
147715,8
158918,7
207531,7
180081,7
170064,7
245368,8
267321,8
177268,7
147320,8
228390,8
186544,8
138304,8
216793,7
103846,8
120287,8
178575,8
148701,8
264065,8
273239,8
99140,8
186998,8
231660,8
221597,8
245292,8
249291,7
245376,8
264328,8
225033,8
209221,8
266797,7
159549,7
247511,8
248844,8
191512,8
230433,7
160411,8
199374,8
243291,7
181333,8
199630,8
197095,8
116375,8
173786,8
208297,8
148212,7
206499,7
161130,7
131251,8
222958,8
121746,8
162178,8
239807,7
208626,8
198101,8
165198,8
107768,8
244422,8
186206,8
127963,7
252450,7
204964,8
271833,8
227735,7
169008,7
259760,8
230126,8
237878,8
125435,7
180105,7
218008,7
244243,7
264514,7
186389,7
217173,8
167421,8
201664,8
201900,8
255552,7
237256,7
232148,8
105743,8
155671,8
249285,7
210041,7
153762,8
133663,8
134267,7
166793,7
181097,8
203615,8
273131,8
232709,8
124159,8
265835,8
106688,7
258932,7
167266,8
231921,8
238240,8
248709,8
183864,8
181767,8
206788,8
134581,8
165557,7
242042,8
203524,8
191265,8
178184,8
100392,8
181761,8
176403,8
211228,8
167826,8
106584,7
222462,8
201319,8
232353,8
245063,8
230104,8
162565,7
208747,7
176896,8
206314,8
180998,8
111205,8
142096,7
149059,8
161752,8
242975,8
231814,8
101452,8
194161,8
124634,8
211685,7
203916,7
120261,8
183049,7
234183,8
188201,8
101865,7
181586,8
181954,8
213494,7
271744,8
137517,7
249252,8
232523,8
171983,8
184374,8
184551,7
117141,8
176420,8
211475,8
143592,7
192063,8
226855,8
230207,8
106743,7
221858,7
274282,8
191892,8
126778,8
103690,7
228311,8
149752,8
103003,7
144749,8
207745,8
236584,7
204344,7
228985,8
228842,8
272923,7
253280,7
242036,8
271007,8
162607,8
253576,8
209554,7
219704,8
169484,7
264009,7
166415,7
179435,7
191081,8
139537,7
175433,7
182060,8
113697,8
188663,8
106884,8
208203,7
157394,8
270044,8
205730,7
217922,7
233037,7
254832,8
222537,7
208954,7
131867,8
255112,8
207266,7
153205,7
269424,7
250704,7
274076,8
137217,7
193812,8
182512,8
250562,8
229281,8
266724,8
125241,8
115306,8
191093,8
198572,8
271689,8
114592,8
219422,8
201364,7
265898,8
222603,7
105160,7
266313,8
171370,8
190309,8
159055,7
223250,8
229615,8
221327,8
237722,8
227720,8
190172,8
137130,8
192500,8
270886,8
137836,7
147738,8
106997,8
240585,8
224884,7
189120,8
169506,8
157733,8
111168,7
178681,7
172782,8
187193,7
271898,7
257345,8
260074,8
244948,8
185496,8
208313,7
157295,7
127898,8
122978,8
155231,8
162104,7
124615,7
128437,8
217172,8
246868,8
180662,8
126957,8
234488,8
209974,7
242139,8
239883,8
229315,8
174642,8
121715,8
145338,8
202103,7
231335,8
119532,7
241659,8
209605,7
187476,8
112591,8
104307,8
111102,8
191743,7
247021,8
174100,8
143341,8
259015,8
255998,8
198593,8
191936,8
161455,8
101720,8
124858,8
189037,8
217254,8
271658,7
231607,7
150589,7
220865,8
206593,7
238135,7
271013,8
254892,8
127498,8
188476,8
134619,7
266635,8
229501,8
206882,8
113978,8
184300,8
141385,7
112744,8
225453,8
139889,8
264022,8
131804,8
192563,8
239764,8
176386,8
200883,8
208957,7
181360,7
106951,8
153977,8
218925,8
167954,8
158675,8
207636,7
155127,7
270746,8
266040,7
246669,7
170807,8
131334,8
231037,8
193010,8
266754,8
272747,8
174293,8
102769,7
114724,8
159444,7
110737,7
221098,8
154741,8
189785,7
174235,8
160566,7
156383,8
180229,7
109020,8
130051,8
179232,8
137998,8
178747,7
234612,8
180850,8
228288,8
237253,8
205557,7
155856,7
167251,7
194165,8
203713,7
182875,8
242828,8
191957,8
162006,8
211097,7
165276,8
255078,8
169005,8
173847,8
214813,8
161582,8
166907,7
179645,8
191506,8
117042,8
199452,8
218318,8
115892,8
206762,8
155639,7
218290,8
134222,7
259530,7
106624,8
222922,8
140230,7
257227,7
245377,8
162083,7
247656,8
159498,7
226912,8
125105,8
176416,8
206836,8
197471,8
199220,7
229758,8
228676,8
140421,8
231277,8
191240,8
199567,8
172787,7
231402,8
162832,8
258407,8
182294,8
201625,8
273324,7
235863,7
269758,7
120670,7
111202,8
183491,7
161169,7
164279,7
248679,8
107147,8
223296,8
174190,8
171279,7
227738,8
237594,8
198184,7
142060,8
205763,7
176930,8
175841,7
207022,7
171328,7
134440,8
232059,8
111637,7
207005,7
272530,8
188977,8
266011,8
101661,8
107633,8
215985,8
142032,8
171496,8
182846,7
220853,7
217134,8
198707,8
264121,8
195545,8
197036,7
220224,7
264750,8
158580,8
128856,8
266263,7
207067,7
222327,8
142062,7
266545,8
121060,8
191673,8
176580,8
246079,7
171226,8
199723,7
163104,8
182037,8
206849,8
136886,7
170276,7
188365,8
140812,8
108858,7
181793,8
201328,8
217321,7
124798,8
159108,7
157097,7
156634,7
226174,8
142035,7
110231,8
98639,8
215117,8
143645,8
267937,8
189236,8
244998,8
145071,8
153784,7
135590,7
171874,8
187370,8
175046,8
147722,8
102517,8
155925,7
247220,7
111374,8
172087,8
173282,8
208373,7
128411,8
119694,7
124466,8
251977,8
263726,7
240396,7
245721,7
250411,7
198875,7
188850,8
204923,7
209815,8
239397,7
104084,8
219760,7
172677,8
264607,8
274115,8
210918,7
164893,8
245448,8
174812,8
198618,8
157709,7
259273,7
123885,8
190202,8
107414,8
255230,8
208633,8
246208,8
103116,7
259495,8
254998,8
205187,8
227016,8
190635,8
231259,7
219933,7
133929,8
246781,8
113183,8
156535,8
137781,8
247814,8
171489,8
185428,8
116592,7
122172,7
239354,8
115280,8
253950,8
138871,8
120501,7
112778,8
225034,8
268709,8
225951,8
160904,8
188656,7
161737,8
153502,7
249572,8
266696,8
218172,8
232758,8
128408,7
100353,8
243939,8
153481,8
205558,8
159478,8
200519,7
208717,8
160402,8
270662,8
227791,8
207195,7
214971,8
259176,8
212163,8
256334,7
187355,8
202099,8
191662,7
110916,7
145501,8
142316,8
201290,8
212497,7
220395,8
200916,7
263025,7
141438,7
134496,8
141048,7
120211,8
164563,8
222653,8
114558,8
106705,8
218822,7
199129,8
128693,8
227101,8
209865,8
117155,8
179722,8
173744,8
166590,7
247507,8
174180,8
205664,7
178370,8
185146,7
209057,7
232421,8
143149,8
244546,8
121635,8
99003,7
221547,8
245991,7
114023,8
242097,8
206794,7
192133,8
139235,7
250256,7
186011,8
155328,8
267294,8
264378,8
128183,7
158997,7
136861,8
270861,7
180207,8
263713,8
217372,7
265361,7
124647,8
177831,8
131356,8
128799,8
190954,7
231028,7
188925,8
250487,8
159524,7
174335,7
189406,8
175770,8
157954,7
268168,7
111623,7
109057,8
124333,8
257740,8
165128,8
209262,7
141854,7
267517,8
267005,8
198154,8
243337,7
231389,8
171013,7
166959,7
229839,8
264772,7
136057,8
263729,8
247729,7
168838,7
146730,8
124550,7
210219,7
235918,8
133314,8
228745,8
265479,8
270288,8
199834,8
201278,8
99401,7
258055,7
203624,8
245531,8
233238,8
114731,8
106759,8
183868,7
247953,8
120023,8
161537,7
107773,7
257258,8
190900,7
199310,8
270487,8
110994,8
176875,8
245766,7
132429,8
161918,8
107807,8
203899,8
191470,7
132116,8
111043,7
125393,8
164121,8
227037,8
274157,8
265719,8
134781,7
266489,8
241902,8
252276,8
178026,8
140780,8
174362,7
173969,8
141641,7
205675,8
232184,8
174495,7
176506,8
270959,8
217367,7
233169,8
222645,8
110919,7
168163,7
101471,8
225852,8
141705,8
220504,7
199353,8
211120,8
232294,7
124412,7
229399,7
217215,8
263985,8
212572,8
215358,8
175972,8
189044,8
260197,7
218704,8
205747,7
185751,8
246266,8
182681,8
182551,8
98998,8
116717,7
207227,8
98264,8
192347,8
204892,7
137265,8
188547,7
271628,8
117132,8
259261,7
105502,7
265463,8
214995,8
157273,7
114642,8
162295,7
244612,7
271029,8
176550,7
190582,8
235080,8
144782,7
163861,8
145684,8
264046,8
191286,8
255709,8
179133,8
247430,8
260086,8
119728,8
173810,7
181985,8
175334,7
214583,8
235660,7
180668,8
259890,7
143565,7
184371,8
144718,8
212802,8
233973,8
263941,8
109027,7
201110,8
186869,8
206378,8
245769,7
230021,7
182354,8
140127,8
162506,8
172475,8
191598,7
174933,8
263837,8
128455,8
168691,8
188824,7
116521,8
197971,8
203400,8
158794,7
158463,8
232232,8
122218,8
153761,8
139680,8
139652,8
181725,8
230299,8
106672,8
125159,8
191905,8
240048,8
259352,8
203181,7
150609,7
216744,7
248419,8
194795,8
250944,8
190245,8
274222,7
228877,8
221741,7
140838,8
219326,8
113754,8
175975,8
210294,8
123947,8
238798,8
248557,8
151995,8
125633,8
265205,7
196842,8
211883,7
207877,7
184487,7
207133,7
208370,8
195755,8
201383,8
154230,8
179890,7
211530,8
195226,8
244317,8
185983,8
204047,8
138166,8
204638,7
185296,8
247298,8
191277,7
266133,7
191880,8
247921,8
175285,8
112684,8
169345,7
128164,8
136695,7
232563,8
177030,8
177562,8
140193,7
135105,8
136691,7
234522,8
182045,8
228498,7
274343,8
174476,8
264810,7
247665,8
258509,8
140320,7
165363,8
189208,8
110580,8
205327,7
217325,7
202613,8
173392,8
267535,7
167100,7
209622,7
208114,7
160266,7
99947,8
111486,8
269548,8
191806,8
125754,8
168137,7
105243,8
165585,7
253892,8
112154,8
266353,7
141745,8
141981,7
125830,8
188494,8
214390,7
195721,8
102578,8
112750,8
169668,8
244955,8
263055,8
118447,8
211851,7
236874,8
179163,8
104845,8
110581,8
165365,7
123264,8
225624,8
269290,8
163985,7
214952,7
186334,8
214079,7
185663,8
192397,8
248159,7
163714,8
232007,7
223398,8
175982,7
249816,8
265340,8
181439,8
272796,8
211444,7
189520,7
221322,8
255315,8
154659,8
206322,8
222892,8
232661,7
202292,8
177675,8
247670,8
181924,8
242565,8
159988,8
222799,8
159797,8
252563,7
175777,7
102131,7
229831,7
267071,8
171797,8
123377,8
235818,8
162204,8
203609,8
264033,7
188628,8
133588,7
181656,8
135907,8
191666,8
114963,8
122538,7
237688,8
168798,7
105605,7
185665,8
255014,8
233217,7
145218,7
272681,8
264830,8
247551,7
213347,8
204776,8
170169,8
147043,8
271030,8
226577,8
123635,8
240810,8
172957,8
267328,8
125280,8
189139,8
182374,7
171708,8
209376,8
208970,8
98060,8
145063,8
181773,8
116292,8
190289,8
199169,7
219593,7
183077,8
181881,7
132937,7
134171,8
116810,8
233693,8
270298,7
131812,8
129403,8
160520,8
225094,8
225856,8
132176,8
144900,7
177329,7
208843,8
206549,7
248497,8
111313,7
218017,8
242594,8
192038,8
195765,7
161362,7
145931,7
172745,8
181300,8
201522,7
169350,7
106870,8
173514,8
127754,7
209522,8
120994,7
161978,7
257444,8
112185,8
254531,8
248462,8
192416,8
269491,7
104169,7
239637,7
181824,8
103122,8
184203,8
215366,8
229300,8
238056,7
233167,7
206952,8
180317,8
165875,8
245744,8
112178,8
247821,8
140068,8
159040,7
216277,7
175592,8
185817,8
184245,8
166665,8
166606,8
100549,8
201089,8
207649,8
106851,8
117041,8
160308,7
244925,8
116750,8
221064,8
193797,8
248173,8
100582,7
164082,8
156697,7
157136,7
248290,8
219034,8
160912,8
243590,8
166191,7
169663,7
165029,7
120969,8
269464,8
190790,8
105119,8
245779,7
141597,8
103970,8
220146,7
141622,8
198755,7
138448,8
185059,8
267541,8
173446,8
106737,7
122399,8
111710,8
230307,8
232825,8
140052,7
124453,8
187223,8
255278,8
253681,7
137542,8
225501,8
102324,8
156887,7
221770,8
216728,8
225330,8
216579,8
125613,8
207904,7
197984,7
207609,7
176999,7
116520,8
229564,8
145909,8
123225,8
246024,8
267652,8
232355,8
204621,8
230856,7
142329,7
228407,8
210473,8
110867,7
157599,7
107172,8
233153,7
186610,7
121578,8
171351,8
175339,8
271444,8
250691,8
103135,8
187251,8
250567,8
236854,8
175753,8
268336,8
232521,8
188502,8
154157,8
217804,8
191517,8
219292,8
173455,8
258661,8
125956,8
216148,7
206717,7
241231,8
171683,8
133887,7
233954,8
256707,8
100130,8
168778,7
105918,8
258633,7
188250,8
124063,8
161721,7
209069,7
143684,7
113897,8
273195,8
244707,8
274240,8
265822,8
158449,7
160579,7
227729,7
167666,8
147829,8
132450,8
166078,8
226019,7
230455,7
250826,8
266770,8
135876,8
270532,8
233070,8
239945,7
179679,8
183132,8
181417,8
190998,8
235570,7
107523,8
179245,8
179129,8
180522,8
234290,8
198378,8
241552,7
181108,8
269331,8
216752,7
207092,7
211470,8
141654,7
208807,7
253986,8
199158,7
203670,8
203721,7
242646,8
246408,8
174839,8
180895,8
126734,8
248631,8
198930,8
181164,8
120440,7
178102,8
270974,8
124786,8
112716,8
264334,7
181444,8
134180,7
189441,7
122950,8
270302,8
248452,8
245787,8
171563,8
192709,8
252719,8
201958,8
167279,8
218243,7
233736,7
153315,8
247641,8
272647,8
227547,8
115067,8
194473,8
178086,7
253522,8
160828,8
233542,7
217893,8
98820,8
167291,7
152085,8
175967,8
165892,7
265787,7
177981,8
205414,7
177903,8
115816,8
109101,7
153085,8
103929,8
214547,8
161277,8
139658,8
222579,7
111773,8
159990,8
256111,7
121771,8
234254,7
249383,7
106169,8
185246,8
162041,7
261538,8
189599,8
191983,8
160667,8
111581,8
214931,7
100051,8
115183,8
180234,8
118464,8
227980,7
220409,8
165329,7
128888,8
256611,8
170033,7
185796,8
210331,8
182649,8
171104,7
190789,8
210815,8
269308,8
230534,8
133165,8
170192,8
98086,7
222931,8
135510,7
105628,8
102129,8
245522,8
240008,8
207364,7
173031,8
263645,8
196415,8
267824,8
161715,8
101824,7
233975,8
242602,8
272657,8
142349,8
166479,7
197925,7
140669,8
270975,8
147363,8
272470,8
103243,8
220697,8
109065,8
133963,8
109668,8
219871,8
133688,8
140224,8
218195,8
239914,7
116373,8
226472,8
134878,7
165389,8
210084,8
163599,8
227677,7
208542,8
203977,8
118847,8
179062,8
101658,8
217812,8
227242,8
271123,8
165651,8
123542,8
146968,8
175261,7
259764,8
119362,8
140864,8
156321,8
232179,7
210091,7
184251,8
207914,7
159240,8
147955,8
272650,8
266661,8
115000,8
187365,8
164717,8
134243,8
237665,8
257335,7
263038,8
201476,8
102542,8
100225,8
246044,8
229801,8
115426,7
139642,8
242050,8
124620,8
169525,7
147345,7
181689,7
156991,7
182495,8
169094,7
180413,8
174820,8
200120,8
116243,8
217298,7
175508,8
226974,7
103306,8
163386,8
242347,7
104496,8
176101,7
114564,8
173029,7
258293,8
206979,7
199042,8
124683,8
218202,8
257391,8
239249,7
176413,8
265763,7
186830,8
100671,7
225253,8
225589,7
267424,8
208634,7
215439,8
208977,8
174997,8
134801,8
126199,7
176465,8
246288,8
215980,8
154960,7
103531,7
100502,8
181410,8
164421,8
150889,8
239543,8
164755,7
153869,8
266909,8
237842,8
180601,8
272151,8
218006,8
181562,7
215401,8
144384,7
240039,7
111821,8
188296,8
254066,8
126142,8
146926,8
236866,8
244116,7
240644,8
272594,8
98391,8
165925,7
109159,8
181783,8
267687,8
267451,8
270215,8
258678,8
234056,7
222768,8
139965,7
192507,8
192104,8
194713,8
185461,7
191122,8
258006,7
110632,8
203533,8
128680,8
174219,8
108668,7
167536,8
212115,8
220288,8
110098,8
195691,7
110092,8
149748,8
206438,7
254736,8
195915,8
104572,7
116486,8
204979,8
149764,8
273257,8
136998,8
123692,8
188584,8
135115,8
242727,8
103186,8
239465,8
241341,7
207568,8
164920,7
102447,8
175304,8
245086,7
174708,8
202153,8
178800,8
129688,8
263476,8
266370,8
142882,8
166922,7
247132,8
125926,8
154578,7
110611,8
215047,8
161153,8
180225,8
243554,8
176788,7
232843,8
159564,7
256754,8
153330,8
241912,7
116358,7
264268,8
242682,7
109654,7
274125,8
153537,8
190831,8
104063,8
274079,8
113826,7
245566,8
134252,7
181155,8
115904,7
153100,8
203783,8
181018,8
112146,7
210740,8
172919,7
186749,8
264699,8
121925,8
158276,7
138855,8
187745,8
259523,7
213007,7
202309,8
258621,8
166036,7
143286,7
166434,8
252583,8
207223,8
154851,8
159350,8
234024,8
112260,7
256318,8
271778,8
186545,8
255527,8
186004,7
138260,8
263309,8
234280,7
135693,8
180525,8
267309,8
134768,8
229772,8
230827,8
166800,7
185986,7
120574,7
205621,8
188128,7
105281,8
187163,8
110439,8
104407,8
121966,8
157924,7
270540,8
205211,7
154241,8
203884,8
156587,8
203369,8
269536,8
185034,8
253498,7
140840,8
221584,8
228541,8
138311,7
225700,8
184037,8
146812,8
235038,8
244480,8
187291,8
124155,8
182842,7
137729,7
208870,8
183945,8
235791,8
255361,8
202463,7
213641,7
104899,7
123600,8
139050,8
205743,7
221532,8
269958,8
267602,8
162511,8
201118,8
185195,7
216561,8
272737,8
256660,8
104866,7
167500,7
127967,7
139954,7
225958,8
123937,8
233365,8
227724,8
189334,7
199342,7
118503,8
98175,8
182334,7
175772,8
245453,8
137639,8
184366,8
220346,7
237850,8
222075,8
202355,8
140219,8
255704,8
220024,8
220209,8
218067,7
234767,8
177080,8
120008,7
103494,8
209863,7
219215,8
180856,8
231325,8
102431,8
236195,8
249308,8
214388,7
158260,7
201422,8
201564,8
98260,8
153106,8
