instance,cls_label,cls
http://www.wikidata.org/entity/Q7727567,http://www.wikidata.org/entity/Q52162262,7
http://www.wikidata.org/entity/Q602283,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q987943,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q63213307,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q18198101,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q5979497,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q503313,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q12457804,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1194211,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q23656959,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1868118,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q61642157,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q86081603,http://www.wikidata.org/entity/Q12912091,1
http://www.wikidata.org/entity/Q494722,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q54862508,http://www.wikidata.org/entity/Q859369,9
http://www.wikidata.org/entity/Q81695664,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q11003667,http://www.wikidata.org/entity/Q1054574,0
http://www.wikidata.org/entity/Q694140,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q63246549,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1894071,http://www.wikidata.org/entity/Q859369,9
http://www.wikidata.org/entity/Q2183072,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q105387,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q1061694,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q7574340,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q928791,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q921033,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q60854162,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q19817055,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q56615496,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q220394,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q7069549,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q320588,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q572440,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q18169958,http://www.wikidata.org/entity/Q2973158,6
