instance,cls_label,cls
http://www.wikidata.org/entity/Q602283,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q987943,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q18198101,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q503313,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q12457804,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1194211,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q61642157,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q494722,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q54862508,http://www.wikidata.org/entity/Q859369,9
http://www.wikidata.org/entity/Q81695664,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q11003667,http://www.wikidata.org/entity/Q1054574,0
http://www.wikidata.org/entity/Q2183072,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q105387,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q921033,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q60854162,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q56615496,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q220394,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q320588,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q18169958,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q7278355,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q7760920,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q2230991,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q1766112,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1329919,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q6869530,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1763495,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1722631,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q2195648,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q6180437,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1144042,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q2373415,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1367548,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q184768,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q2384699,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q2413543,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1213755,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3222839,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q737904,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1357016,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q961403,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1698632,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1371768,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3281757,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q2073000,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1537646,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1402538,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q511828,http://www.wikidata.org/entity/Q52162262,7
http://www.wikidata.org/entity/Q3832389,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q821066,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q20422190,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q459057,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q7720983,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q54274,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q163872,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1575773,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q25057,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q16248805,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q7096829,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q3423831,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q5153449,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q322328,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q2403802,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q187561,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q83885392,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q888136,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3018061,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q4567138,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q29383400,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3820833,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q827064,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q181069,http://www.wikidata.org/entity/Q188473,5
http://www.wikidata.org/entity/Q55314385,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q4004139,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q2877834,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q7810384,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q1166360,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q880259,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1688579,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q27038025,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q4347799,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q619820,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q248794,http://www.wikidata.org/entity/Q859369,9
http://www.wikidata.org/entity/Q12125286,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q28101345,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1193098,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q607179,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q57414487,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q6129050,http://www.wikidata.org/entity/Q860626,10
http://www.wikidata.org/entity/Q392769,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q155458,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3506408,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1215712,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1748495,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q1332776,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q499656,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q150804,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1453908,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q8822418,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1078890,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3029222,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1553640,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1133874,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q641315,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q2058578,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q20992385,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q201674,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q430535,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q3367156,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q32011,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q73803,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q2468140,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q34499,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q535395,http://www.wikidata.org/entity/Q52162262,7
http://www.wikidata.org/entity/Q368577,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1660701,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q4831496,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q728485,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1278929,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q100276888,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1106374,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1343175,http://www.wikidata.org/entity/Q2973158,6
http://www.wikidata.org/entity/Q427386,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q6816197,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q202508,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q1431567,http://www.wikidata.org/entity/Q842256,8
http://www.wikidata.org/entity/Q969469,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q64965491,http://www.wikidata.org/entity/Q93204,11
http://www.wikidata.org/entity/Q512475,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1187127,http://www.wikidata.org/entity/Q130232,2
http://www.wikidata.org/entity/Q1546058,http://www.wikidata.org/entity/Q157443,4
http://www.wikidata.org/entity/Q945952,http://www.wikidata.org/entity/Q130232,2
