index,class
231210,2
273749,2
136918,11
215876,2
111248,2
108069,5
233247,2
214466,2
222743,9
258710,2
103194,0
154030,11
101211,5
267884,2
232106,11
227562,2
154475,2
183236,2
136696,6
247521,11
254590,11
155362,6
134907,11
114350,2
242986,2
134851,11
133062,2
154274,2
233793,4
105037,11
159483,11
116180,2
137960,2
159965,8
161035,11
109605,2
183583,2
249031,4
115769,5
271407,2
131726,4
116331,2
184836,6
146661,2
121358,11
117280,2
217379,7
199248,2
258955,2
145565,2
208633,2
254085,11
221853,4
127182,2
123098,2
163383,4
126027,2
245184,11
188159,2
217867,2
183590,8
160550,2
139243,11
260114,11
265721,2
177923,4
208294,8
175945,2
199039,2
259282,2
136320,5
224641,6
201393,2
173711,8
255101,8
106253,2
265364,11
131222,2
168235,11
205429,2
234093,2
162953,9
109538,2
171570,11
107995,6
231808,2
228450,11
232731,10
200637,6
122134,2
189807,2
109682,2
134033,11
114456,2
215390,2
120092,2
118610,11
265430,4
102320,2
178257,2
122103,4
104401,2
237219,2
145992,11
147971,2
144940,2
204726,2
186980,6
183145,8
249053,2
162488,11
188764,2
220790,7
192889,2
128300,2
212475,11
247606,2
112505,2
97984,2
103370,2
115025,6
204238,2
242378,11
145174,4
118003,8
272281,2
238321,11
217495,2
107528,2
121837,4
269717,2
230088,2
248669,2
128523,2
272865,2
191056,2
184948,5
231655,6
129195,2
243853,4
265981,2
209492,11
227817,8
122384,11
144439,2
102033,2
120578,4
135602,2
158987,2
177045,2
121502,2
123256,2
109787,4
188494,4
231390,2
259908,11
221964,7
183302,4
126837,4
101695,2
148361,8
147581,2
177460,11
248009,2
149105,11
149423,2
269665,2
257891,2
254607,6
115909,2
134888,2
100031,4
257827,0
117669,11
183584,2
233621,11
211893,2
270668,2
241253,2
209164,11
183611,11
106340,2
210254,2
183916,2
191768,2
253460,2
216048,6
241978,7
239350,4
105900,2
135092,9
254184,2
272787,2
177000,2
105198,11
255053,2
175896,2
144958,6
166637,6
141234,11
177431,11
142661,4
166530,8
270052,0
179928,2
202830,11
209636,2
103182,6
125986,2
155358,2
242541,2
190620,2
148486,11
202100,2
183324,4
233564,2
127209,2
126860,6
101530,2
254040,2
226895,2
140634,2
250136,2
160204,9
233384,11
155072,7
254371,2
250291,6
115013,6
263194,2
100604,2
143118,2
239139,2
259671,6
155942,6
240600,2
128103,8
108545,4
221508,11
217027,2
173465,2
237465,2
103625,2
255439,6
114040,2
219464,6
237799,11
174297,11
233244,11
101414,2
173661,2
108176,6
167759,4
253278,6
126957,2
269892,2
184109,2
125687,10
108554,2
251660,2
125361,3
198567,7
142860,2
154056,11
139356,2
198963,2
107155,2
127174,11
100850,2
245630,11
179239,9
127952,2
106094,2
101256,4
101419,2
204338,8
161136,2
231045,2
246087,4
137877,2
190064,11
108298,2
251970,2
259370,2
134525,7
265678,2
255588,2
189089,6
177499,2
137366,2
209391,11
218564,8
227467,11
183176,2
173495,4
200150,2
137740,2
226446,2
210762,2
141311,2
108109,2
153779,5
118046,9
161060,11
117281,2
181452,6
149509,11
104209,2
124152,2
146202,2
141420,2
125354,3
146078,8
109445,11
106469,2
108139,2
250280,2
227205,2
101737,2
190703,2
258015,1
105674,2
238542,6
206432,4
207657,4
268206,2
214860,2
119579,2
244587,11
115885,6
168589,2
146061,10
192838,11
101040,2
171284,2
105181,4
162014,2
118656,2
204895,6
254474,11
248333,9
139340,9
255707,11
131868,1
98308,2
201536,11
245278,2
136147,6
258768,2
169837,11
173029,7
243723,11
254616,11
117388,2
141201,2
254776,8
164418,2
104813,2
136958,4
166995,2
180949,6
106127,2
136561,2
211239,11
246718,2
254272,11
189550,2
164701,2
149443,2
100652,2
252762,2
271901,6
240853,2
154426,2
160842,4
249924,11
259165,2
115252,2
117329,0
207645,11
157648,6
186297,2
100985,2
101141,10
106078,4
109522,4
104859,2
263106,2
120255,2
147813,11
219257,2
204724,2
107158,11
102272,2
164063,6
228735,6
114526,2
222550,11
134947,6
215671,2
260668,2
119826,11
115632,2
228693,2
131897,11
204314,2
270879,2
273015,2
201648,2
103303,2
247292,4
125770,2
255722,6
264404,6
120854,2
243585,11
108496,2
155201,2
213402,2
154497,2
154385,2
103349,2
192108,6
259880,2
144471,6
127020,2
